EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:27:46"

"V1: 1.000000, 1.593750"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
174,3.077963,2.687503,3.099090
175,3.077895,2.687503,3.097656
176,3.077510,2.687503,3.100524
177,3.077047,2.687503,3.097656
178,3.076822,2.690372,3.097656
179,3.076380,2.687503,3.097656
180,3.075674,2.687503,3.096222
181,3.075344,2.686069,3.097656
182,3.075192,2.688937,3.096222
183,3.074781,2.687503,3.096222
184,3.074357,2.684635,3.096222
185,3.073714,2.684635,3.097656
186,3.073630,2.684635,3.094788
187,3.073362,2.686069,3.094788
188,3.072935,2.683201,3.094788
189,3.072748,2.681767,3.094788
190,3.072469,2.683201,3.091920
191,3.071891,2.680333,3.093354
192,3.071613,2.681767,3.094788
193,3.071020,2.680333,3.093354
194,3.070528,2.677465,3.091920
195,3.070577,2.676031,3.091920
196,3.070170,2.676031,3.090485
197,3.069377,2.673162,3.090485
198,3.068583,2.670294,3.090485
199,3.068598,2.670294,3.089051
200,3.068143,2.667426,3.090485
201,3.067755,2.668860,3.090485
202,3.067629,2.671728,3.089051
203,3.067371,2.670294,3.090485
204,3.066913,2.667426,3.089051
205,3.066732,2.668860,3.089051
206,3.066231,2.667426,3.089051
207,3.066149,2.665992,3.089051
208,3.066327,2.668860,3.089051
209,3.065655,2.668860,3.087617
210,3.065100,2.668860,3.089051
211,3.064736,2.668860,3.089051
212,3.064315,2.668860,3.086183
213,3.063865,2.663124,3.086183
214,3.063678,2.667426,3.086183
215,3.063024,2.667426,3.084749
216,3.063011,2.668860,3.084749
217,3.062785,2.665992,3.084749
218,3.062724,2.668860,3.083315
219,3.062323,2.665992,3.083315
220,3.062176,2.668860,3.081881
221,3.061780,2.670294,3.083315
222,3.061551,2.670294,3.081881
223,3.061230,2.671728,3.081881
224,3.061105,2.671728,3.081881
225,3.061044,2.671728,3.081881
226,3.060942,2.671728,3.081881
227,3.060403,2.673162,3.083315
228,3.060056,2.671728,3.080447
229,3.060078,2.673162,3.081881
230,3.059735,2.673162,3.083315
231,3.059570,2.673162,3.080447
232,3.058966,2.671728,3.080447
233,3.058586,2.670294,3.079013
234,3.058017,2.671728,3.077579
235,3.057825,2.673162,3.080447
