5.236966825,2.88
9.857819905,2.87627907
16.94312796,2.87255814
26.18483412,2.87627907
34.1943128,2.87627907
44.0521327,2.88372093
52.98578199,2.88372093
60.99526066,2.88
68.08056872,2.88
77.01421801,2.88
83.48341232,2.88
90.56872038,2.87255814
96.72985782,2.87255814
103.507109,2.87255814
110.2843602,2.868837209
118.9099526,2.865116279
125.3791469,2.868837209
133.0805687,2.853953488
138.0094787,2.850232558
143.5545024,2.846511628
148.4834123,2.842790698
153.4123223,2.835348837
158.6492891,2.827906977
163.5781991,2.820465116
168.507109,2.809302326
172.5118483,2.798139535
178.3649289,2.783255814
183.2938389,2.768372093
188.2227488,2.753488372
192.8436019,2.734883721
197.7725118,2.71255814
201.7772512,2.690232558
207.014218,2.664186047
210.7109005,2.634418605
215.9478673,2.597209302
220.2606635,2.548837209
223.6492891,2.504186047
227.3459716,2.455813953
229.1943128,2.4
230.7345972,2.351627907
231.9668246,2.303255814
233.1990521,2.258604651
234.1232227,2.210232558
234.7393365,2.176744186
235.6635071,2.120930233
235.971564,2.07627907
236.8957346,2.016744186
237.2037915,1.957209302
237.8199052,1.819534884
237.8199052,1.91255814
238.1279621,1.856744186
239.3601896,1.733953488
239.6682464,1.663255814
240.2843602,1.6
