EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/08 00:02:56,,,
,,,
"V1: 0.500000, 1.390625",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
0,2.779398,2.026383,2.830913
1,2.779474,2.026383,2.829479
2,2.779404,2.023515,2.832347
3,2.779409,2.024949,2.832347
4,2.779479,2.027817,2.830913
5,2.779531,2.027817,2.829479
6,2.779589,2.027817,2.829479
7,2.779637,2.026383,2.830913
8,2.779658,2.026383,2.829479
9,2.779576,2.026383,2.829479
10,2.779435,2.024949,2.829479
11,2.77959,2.026383,2.830913
12,2.779329,2.027817,2.830913
13,2.779398,2.026383,2.829479
14,2.779369,2.024949,2.829479
15,2.779423,2.026383,2.830913
16,2.779354,2.023515,2.829479
17,2.779304,2.026383,2.830913
18,2.779231,2.026383,2.829479
19,2.779416,2.027817,2.829479
20,2.779352,2.026383,2.830913
21,2.77931,2.024949,2.829479
22,2.77956,2.027817,2.832347
23,2.779289,2.022081,2.832347
24,2.779181,2.026383,2.829479
25,2.779287,2.024949,2.829479
26,2.779519,2.026383,2.829479
27,2.779521,2.026383,2.829479
28,2.779436,2.024949,2.829479
29,2.779453,2.022081,2.830913
30,2.779542,2.026383,2.830913
31,2.779467,2.026383,2.830913
32,2.779313,2.026383,2.830913
33,2.779481,2.024949,2.829479
34,2.779304,2.027817,2.829479
35,2.779341,2.027817,2.829479
36,2.779351,2.026383,2.829479
37,2.779545,2.026383,2.829479
38,2.77943,2.026383,2.832347
39,2.779555,2.026383,2.829479
40,2.779547,2.024949,2.829479
41,2.779606,2.024949,2.830913
42,2.779538,2.024949,2.829479
43,2.779602,2.026383,2.830913
44,2.779593,2.026383,2.829479
45,2.779371,2.024949,2.829479
46,2.779484,2.024949,2.829479
47,2.779403,2.023515,2.829479
48,2.77943,2.027817,2.830913
49,2.779386,2.024949,2.829479
50,2.779524,2.026383,2.829479
51,2.779657,2.024949,2.829479
52,2.779738,2.026383,2.829479
53,2.779448,2.024949,2.829479
54,2.779603,2.024949,2.829479
