EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/08 00:05:02,,,
,,,
"V1: 0.500000, 1.250000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
550,2.524067,0.698407,2.673162
551,2.523892,0.695538,2.673162
552,2.520252,0.695538,2.671728
553,2.523942,0.694104,2.674597
554,2.523942,0.695538,2.673162
555,2.519909,0.698407,2.673162
556,2.524179,0.698407,2.671728
557,2.523955,0.696973,2.673162
558,2.519975,0.695538,2.671728
559,2.52393,0.696973,2.673162
560,2.523759,0.698407,2.671728
561,2.519931,0.695538,2.673162
562,2.524097,0.696973,2.671728
563,2.524129,0.698407,2.674597
564,2.520283,0.69267,2.674597
565,2.52415,0.698407,2.674597
566,2.524377,0.695538,2.671728
567,2.520931,0.696973,2.671728
568,2.524771,0.698407,2.671728
569,2.524694,0.698407,2.673162
570,2.520638,0.696973,2.671728
571,2.524441,0.695538,2.673162
572,2.524486,0.696973,2.673162
573,2.520685,0.698407,2.673162
574,2.524573,0.694104,2.673162
575,2.524212,0.696973,2.671728
576,2.520149,0.698407,2.671728
577,2.524134,0.698407,2.673162
578,2.523823,0.696973,2.674597
579,2.519986,0.696973,2.671728
580,2.523946,0.698407,2.673162
581,2.52417,0.698407,2.674597
582,2.520064,0.695538,2.674597
583,2.524014,0.696973,2.671728
584,2.523899,0.695538,2.673162
585,2.520166,0.696973,2.674597
586,2.523892,0.695538,2.670294
587,2.523887,0.698407,2.671728
588,2.519981,0.696973,2.671728
589,2.523729,0.69267,2.673162
590,2.52382,0.69267,2.673162
591,2.520258,0.696973,2.671728
592,2.524215,0.696973,2.674597
593,2.524223,0.696973,2.671728
594,2.519978,0.694104,2.673162
595,2.523822,0.699841,2.673162
596,2.523985,0.698407,2.674597
597,2.519757,0.695538,2.671728
598,2.523986,0.698407,2.670294
599,2.524126,0.695538,2.670294
600,2.519966,0.698407,2.674597
601,2.523747,0.696973,2.673162
602,2.524174,0.698407,2.673162
603,2.520119,0.696973,2.674597
604,2.524004,0.696973,2.673162
605,2.523757,0.698407,2.674597
606,2.519676,0.694104,2.670294
607,2.523896,0.695538,2.671728
608,2.523576,0.695538,2.673162
609,2.519984,0.694104,2.671728
610,2.523737,0.696973,2.671728
611,2.523667,0.695538,2.671728
612,2.51984,0.696973,2.673162
613,2.523706,0.696973,2.671728
614,2.523627,0.695538,2.674597
615,2.520012,0.695538,2.674597
616,2.523921,0.695538,2.673162
617,2.523539,0.695538,2.671728
618,2.519957,0.695538,2.671728
619,2.523813,0.696973,2.671728
620,2.523569,0.694104,2.671728
621,2.519449,0.696973,2.671728
622,2.523463,0.695538,2.671728
623,2.523473,0.698407,2.670294
624,2.519637,0.695538,2.671728
625,2.523521,0.698407,2.671728
626,2.523356,0.694104,2.673162
627,2.519403,0.695538,2.670294
628,2.52351,0.696973,2.673162
629,2.523619,0.695538,2.673162
630,2.519778,0.695538,2.671728
631,2.523874,0.694104,2.671728
632,2.523741,0.696973,2.671728
633,2.519755,0.69267,2.671728
634,2.523855,0.696973,2.674597
635,2.523713,0.69267,2.671728
636,2.519768,0.695538,2.671728
637,2.523947,0.695538,2.671728
638,2.523504,0.694104,2.670294
639,2.519815,0.696973,2.673162
640,2.523818,0.694104,2.674597
641,2.52353,0.695538,2.671728
642,2.519987,0.696973,2.671728
643,2.52375,0.696973,2.670294
644,2.52342,0.696973,2.671728
645,2.519789,0.694104,2.671728
646,2.52361,0.695538,2.671728
647,2.523773,0.695538,2.670294
648,2.52009,0.696973,2.671728
649,2.523883,0.694104,2.673162
650,2.523937,0.695538,2.674597
651,2.52002,0.694104,2.674597
652,2.523808,0.696973,2.671728
653,2.523806,0.695538,2.671728
654,2.520063,0.696973,2.671728
655,2.523841,0.695538,2.673162
656,2.523868,0.696973,2.673162
657,2.520342,0.695538,2.673162
658,2.523767,0.696973,2.670294
659,2.523374,0.695538,2.670294
660,2.519603,0.695538,2.670294
661,2.523684,0.695538,2.671728
662,2.523624,0.695538,2.671728
663,2.519698,0.695538,2.671728
664,2.523493,0.695538,2.671728
665,2.523163,0.694104,2.670294
666,2.519637,0.696973,2.671728
667,2.523494,0.695538,2.670294
668,2.523552,0.695538,2.670294
669,2.519792,0.691236,2.670294
670,2.523457,0.698407,2.671728
671,2.523797,0.69267,2.673162
672,2.519984,0.695538,2.670294
673,2.523858,0.695538,2.671728
674,2.523378,0.694104,2.671728
675,2.520002,0.696973,2.673162
676,2.523915,0.694104,2.674597
677,2.523806,0.694104,2.673162
678,2.520292,0.691236,2.671728
679,2.523591,0.695538,2.673162
680,2.523783,0.69267,2.671728
681,2.519988,0.69267,2.673162
682,2.523969,0.69267,2.671728
683,2.523646,0.696973,2.674597
684,2.520336,0.695538,2.671728
685,2.524173,0.696973,2.671728
686,2.523774,0.694104,2.671728
687,2.519931,0.694104,2.676031
688,2.523548,0.696973,2.673162
689,2.523508,0.694104,2.671728
690,2.519765,0.691236,2.671728
691,2.523819,0.69267,2.673162
692,2.523796,0.695538,2.673162
693,2.520062,0.69267,2.671728
694,2.523922,0.695538,2.671728
695,2.524073,0.696973,2.671728
696,2.520366,0.69267,2.670294
697,2.523853,0.69267,2.671728
698,2.523865,0.695538,2.671728
699,2.520083,0.695538,2.671728
700,2.523854,0.694104,2.673162
701,2.52386,0.695538,2.670294
702,2.519802,0.696973,2.673162
703,2.523847,0.694104,2.673162
704,2.523703,0.69267,2.671728
705,2.519996,0.69267,2.673162
706,2.524102,0.69267,2.673162
707,2.523745,0.695538,2.671728
708,2.52,0.694104,2.670294
709,2.52363,0.69267,2.671728
710,2.523494,0.69267,2.673162
711,2.519962,0.694104,2.671728
712,2.52386,0.688368,2.673162
713,2.52412,0.695538,2.673162
714,2.520351,0.691236,2.670294
715,2.524091,0.694104,2.673162
716,2.524194,0.695538,2.674597
717,2.520601,0.694104,2.671728
718,2.523999,0.694104,2.671728
719,2.524046,0.694104,2.673162
720,2.520323,0.69267,2.670294
721,2.523895,0.695538,2.673162
722,2.523835,0.69267,2.671728
723,2.520104,0.691236,2.671728
724,2.523594,0.694104,2.673162
725,2.523848,0.691236,2.671728
726,2.520335,0.694104,2.671728
727,2.523957,0.69267,2.673162
728,2.524105,0.694104,2.671728
