EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/08 00:05:02,,,
,,,
"V1: 0.500000, 1.250000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
172,2.520853,0.704143,2.671728
173,2.525023,0.705577,2.673162
174,2.524776,0.704143,2.671728
175,2.520884,0.701275,2.673162
176,2.524948,0.704143,2.670294
177,2.524858,0.704143,2.673162
178,2.521124,0.705577,2.673162
179,2.524888,0.702709,2.673162
180,2.524597,0.702709,2.673162
181,2.520946,0.704143,2.671728
182,2.524819,0.704143,2.673162
183,2.524896,0.699841,2.674597
184,2.520804,0.702709,2.674597
185,2.524593,0.702709,2.671728
186,2.524311,0.704143,2.671728
187,2.520567,0.702709,2.671728
188,2.524537,0.701275,2.671728
189,2.524436,0.702709,2.673162
190,2.520478,0.704143,2.673162
191,2.524516,0.701275,2.671728
192,2.524302,0.699841,2.673162
193,2.520566,0.702709,2.671728
194,2.524259,0.702709,2.671728
195,2.524045,0.704143,2.673162
196,2.52028,0.704143,2.671728
197,2.524383,0.701275,2.673162
198,2.523799,0.704143,2.670294
199,2.520034,0.704143,2.673162
200,2.523864,0.702709,2.670294
201,2.524002,0.704143,2.673162
202,2.520042,0.704143,2.673162
203,2.524074,0.702709,2.671728
204,2.524036,0.702709,2.671728
205,2.519997,0.698407,2.671728
206,2.524217,0.704143,2.674597
207,2.524127,0.701275,2.671728
208,2.52049,0.704143,2.670294
209,2.524078,0.704143,2.674597
210,2.524143,0.702709,2.670294
211,2.520318,0.702709,2.671728
212,2.524057,0.704143,2.670294
213,2.523987,0.699841,2.673162
214,2.520399,0.701275,2.673162
215,2.524154,0.701275,2.671728
216,2.523777,0.701275,2.673162
217,2.520258,0.701275,2.671728
218,2.524032,0.702709,2.671728
219,2.523812,0.701275,2.674597
220,2.520144,0.699841,2.673162
221,2.523945,0.701275,2.673162
222,2.524071,0.701275,2.670294
223,2.520277,0.701275,2.671728
224,2.524026,0.702709,2.671728
225,2.524073,0.701275,2.670294
226,2.520312,0.702709,2.671728
227,2.523888,0.701275,2.671728
228,2.524272,0.702709,2.673162
229,2.520442,0.701275,2.671728
230,2.524525,0.701275,2.674597
231,2.524354,0.701275,2.670294
232,2.520395,0.701275,2.671728
233,2.524218,0.701275,2.671728
234,2.524386,0.702709,2.671728
235,2.520849,0.702709,2.671728
236,2.524249,0.702709,2.673162
237,2.524521,0.704143,2.671728
238,2.520917,0.704143,2.673162
239,2.524342,0.701275,2.671728
240,2.524381,0.702709,2.671728
241,2.520883,0.698407,2.673162
242,2.524272,0.702709,2.671728
243,2.524387,0.701275,2.671728
244,2.520852,0.699841,2.673162
245,2.524434,0.702709,2.671728
246,2.524283,0.702709,2.673162
247,2.520978,0.702709,2.671728
248,2.523795,0.702709,2.671728
249,2.52404,0.698407,2.671728
250,2.520978,0.704143,2.671728
251,2.523811,0.699841,2.671728
252,2.524263,0.702709,2.673162
253,2.520967,0.701275,2.676031
254,2.523456,0.701275,2.671728
255,2.523987,0.698407,2.673162
256,2.521225,0.702709,2.671728
257,2.523355,0.701275,2.671728
258,2.524044,0.701275,2.671728
259,2.521304,0.702709,2.671728
260,2.52323,0.699841,2.670294
261,2.524354,0.699841,2.673162
262,2.521481,0.699841,2.671728
263,2.522969,0.702709,2.673162
264,2.523984,0.699841,2.671728
265,2.521594,0.701275,2.671728
266,2.52239,0.699841,2.671728
267,2.523956,0.701275,2.670294
268,2.522089,0.701275,2.670294
269,2.522528,0.699841,2.671728
270,2.524307,0.701275,2.671728
271,2.522387,0.701275,2.671728
272,2.522233,0.701275,2.671728
273,2.524046,0.702709,2.674597
