EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:27:09,,,
,,,
"V1: 1.000000, 1.625000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
172,3.098973,2.585682,3.124904
173,3.098387,2.584248,3.126338
174,3.097895,2.585682,3.124904
175,3.097391,2.585682,3.124904
176,3.097105,2.584248,3.12347
177,3.096796,2.585682,3.12347
178,3.096252,2.58138,3.12347
179,3.095989,2.584248,3.124904
180,3.095568,2.582814,3.12347
181,3.095189,2.584248,3.122036
182,3.094589,2.582814,3.120602
183,3.094283,2.58138,3.120602
184,3.093937,2.58138,3.120602
185,3.093462,2.58138,3.120602
186,3.092989,2.579946,3.119168
187,3.092603,2.58138,3.119168
188,3.092078,2.58138,3.119168
189,3.091898,2.578512,3.119168
190,3.091451,2.579946,3.119168
191,3.09089,2.579946,3.117733
192,3.09064,2.579946,3.117733
193,3.090104,2.579946,3.117733
194,3.089623,2.579946,3.117733
195,3.089186,2.577078,3.114865
196,3.088913,2.578512,3.116299
197,3.088557,2.574209,3.116299
198,3.088127,2.578512,3.113431
199,3.087496,2.575644,3.114865
200,3.087264,2.578512,3.114865
201,3.087097,2.575644,3.113431
202,3.086565,2.575644,3.113431
203,3.086214,2.578512,3.113431
204,3.085685,2.577078,3.114865
205,3.085509,2.577078,3.111997
206,3.084836,2.577078,3.111997
207,3.084733,2.575644,3.113431
208,3.084448,2.575644,3.111997
209,3.083845,2.574209,3.110563
210,3.083651,2.575644,3.110563
211,3.083239,2.575644,3.110563
212,3.082862,2.574209,3.111997
213,3.082487,2.575644,3.109129
214,3.081944,2.575644,3.109129
215,3.081467,2.572775,3.106261
216,3.081133,2.572775,3.106261
217,3.081026,2.571341,3.109129
218,3.080793,2.568473,3.107695
219,3.080365,2.572775,3.106261
220,3.080119,2.572775,3.106261
221,3.079686,2.568473,3.106261
222,3.079545,2.568473,3.106261
223,3.07903,2.571341,3.104826
224,3.078931,2.569907,3.104826
225,3.078708,2.571341,3.103392
226,3.078194,2.569907,3.104826
227,3.077957,2.569907,3.106261
228,3.077855,2.569907,3.104826
229,3.077453,2.569907,3.103392
230,3.076967,2.568473,3.103392
231,3.076854,2.569907,3.103392
232,3.076486,2.567039,3.101958
233,3.076425,2.568473,3.101958
234,3.076284,2.567039,3.104826
235,3.075648,2.567039,3.100524
236,3.075535,2.568473,3.100524
237,3.07505,2.565605,3.100524
238,3.0751,2.565605,3.101958
239,3.074302,2.564171,3.100524
240,3.073811,2.567039,3.103392
241,3.073558,2.567039,3.097656
242,3.073187,2.567039,3.097656
243,3.072779,2.567039,3.09909
244,3.072424,2.567039,3.097656
245,3.072253,2.565605,3.100524
246,3.072059,2.565605,3.09909
247,3.071694,2.564171,3.096222
248,3.071321,2.564171,3.096222
249,3.071017,2.565605,3.096222
250,3.070517,2.564171,3.096222
251,3.070526,2.564171,3.094788
252,3.070087,2.564171,3.096222
253,3.069781,2.565605,3.094788
254,3.069466,2.562737,3.093354
255,3.069482,2.564171,3.096222
256,3.069061,2.565605,3.094788
257,3.068541,2.564171,3.093354
258,3.068389,2.565605,3.093354
259,3.068443,2.565605,3.094788
260,3.068098,2.562737,3.09192
261,3.067937,2.565605,3.09192
262,3.067447,2.564171,3.093354
263,3.067012,2.564171,3.093354
264,3.066626,2.564171,3.09192
265,3.066332,2.562737,3.09192
266,3.065924,2.561303,3.090485
267,3.065556,2.564171,3.090485
268,3.065344,2.562737,3.090485
269,3.065241,2.562737,3.093354
270,3.065104,2.564171,3.09192
271,3.064513,2.561303,3.090485
272,3.064399,2.561303,3.089051
273,3.06393,2.559869,3.089051
274,3.063735,2.561303,3.090485
275,3.063193,2.561303,3.089051
276,3.062817,2.561303,3.089051
277,3.062618,2.561303,3.090485
278,3.06234,2.559869,3.089051
279,3.061912,2.561303,3.087617
280,3.061529,2.559869,3.087617
281,3.061219,2.559869,3.087617
282,3.061027,2.561303,3.086183
283,3.060674,2.561303,3.089051
284,3.060368,2.559869,3.087617
285,3.060207,2.558434,3.087617
286,3.059747,2.559869,3.086183
287,3.05964,2.559869,3.086183
288,3.05932,2.559869,3.087617
289,3.059134,2.559869,3.084749
290,3.058524,2.558434,3.084749
291,3.058211,2.559869,3.084749
292,3.057893,2.558434,3.086183
293,3.057639,2.559869,3.083315
294,3.057302,2.559869,3.083315
295,3.056998,2.559869,3.081881
296,3.057069,2.558434,3.084749
