sod,fit
0.0,3.0148573559404794
5.371046894800517e-05,3.0134316721926107
0.00010742093789601034,3.012013270572619
0.00016113140684401552,3.010602113884748
0.00021484187579202068,3.0091981651232285
0.0002685523447400259,3.0078013874713116
0.00032226281368803104,3.0064117443003013
0.0003759732826360362,3.0050291991685936
0.00042968375158404135,3.0036537158207213
0.00048339422053204656,3.002285258186404
0.0005371046894800518,3.0009237903796007
0.0005908151584280569,2.9995692766975712
0.0006445256273760621,2.998221681619937
0.0006982360963240673,2.996880969807751
0.0007519465652720724,2.995547106102572
0.0008056570342200776,2.99422005552554
0.0008593675031680827,2.9928997832764623
0.000913077972116088,2.9915862547328977
0.0009667884410640931,2.990279435449251
0.0010204989100120983,2.988979291155868
0.0010742093789601035,2.9876857877581373
0.0011279198479081085,2.9863988913355977
0.0011816303168561137,2.985118568141046
0.001235340785804119,2.983844784599655
0.0012890512547521242,2.98257750730809
0.0013427617237001294,2.981316703033634
0.0013964721926481346,2.9800623387133194
0.0014501826615961398,2.9788143814530543
0.0015038931305441448,2.977572798526767
0.0015576035994921502,2.9763375573755417
0.0016113140684401552,2.97510862560677
0.0016650245373881602,2.9738859709932974
0.0017187350063361654,2.97266956147258
0.0017724454752841706,2.971459365145844
0.001826155944232176,2.9702553502772475
0.001879866413180181,2.96905748529305
0.0019335768821281863,2.9678657387807847
0.0019872873510761915,2.966680079488432
0.0020409978200241967,2.9655004763236033
0.002094708288972202,2.9643268983527236
0.002148418757920207,2.963159314800221
0.0022021292268682123,2.961997695047719
0.002255839695816217,2.9608420086332354
0.0023095501647642223,2.95969222525038
0.0023632606337122275,2.9585483147475644
0.0024169711026602327,2.957410247127207
0.002470681571608238,2.9562779925449494
0.0025243920405562427,2.955151521308872
0.0025781025095042483,2.954030803878717
0.0026318129784522535,2.952915810865111
0.0026855234474002588,2.951806513028798
0.0027392339163482644,2.9507028812798697
0.002792944385296269,2.9496048866770033
0.0028466548542442744,2.9485125004267037
0.0029003653231922796,2.9474256938825474
0.0029540757921402844,2.946344438544431
0.0030077862610882896,2.945268706057825
0.0030614967300362952,2.9441984682130293
0.0031152071989843004,2.943133696944434
0.0031689176679323048,2.942074364329782
0.0032226281368803104,2.94102044258944
