EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/01 01:58:57,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
172,2.909483,2.809402,2.928432
173,2.909679,2.810836,2.926998
174,2.909631,2.809402,2.928432
175,2.909772,2.809402,2.928432
176,2.909685,2.807968,2.926998
177,2.909292,2.807968,2.928432
178,2.909284,2.803665,2.926998
179,2.909372,2.809402,2.926998
180,2.909429,2.806534,2.925564
181,2.909545,2.807968,2.926998
182,2.909643,2.810836,2.928432
183,2.90963,2.810836,2.926998
184,2.909729,2.809402,2.929866
185,2.909795,2.807968,2.926998
186,2.909527,2.802231,2.926998
187,2.909686,2.806534,2.928432
188,2.909523,2.809402,2.926998
189,2.909581,2.809402,2.928432
190,2.909608,2.810836,2.926998
191,2.90955,2.807968,2.928432
192,2.909479,2.807968,2.926998
193,2.909545,2.807968,2.926998
194,2.909673,2.809402,2.928432
195,2.909374,2.807968,2.928432
196,2.909289,2.809402,2.928432
197,2.909224,2.806534,2.928432
198,2.90937,2.810836,2.926998
199,2.909279,2.806534,2.928432
200,2.909612,2.809402,2.928432
201,2.90949,2.807968,2.926998
202,2.909505,2.806534,2.926998
203,2.909524,2.807968,2.926998
204,2.909522,2.809402,2.928432
205,2.90961,2.810836,2.928432
206,2.909493,2.809402,2.926998
207,2.909474,2.809402,2.928432
208,2.909657,2.806534,2.926998
209,2.909764,2.810836,2.928432
210,2.909638,2.807968,2.926998
211,2.909304,2.807968,2.928432
212,2.909388,2.809402,2.928432
213,2.909685,2.809402,2.926998
214,2.909828,2.809402,2.928432
215,2.909904,2.810836,2.9313
216,2.909605,2.807968,2.929866
217,2.90971,2.807968,2.929866
218,2.909586,2.806534,2.928432
219,2.909479,2.809402,2.926998
220,2.909439,2.809402,2.928432
221,2.909189,2.810836,2.925564
222,2.909577,2.807968,2.928432
223,2.909381,2.809402,2.926998
224,2.909337,2.807968,2.928432
225,2.909225,2.807968,2.926998
226,2.909358,2.806534,2.926998
227,2.909299,2.809402,2.926998
228,2.909721,2.809402,2.928432
229,2.909636,2.809402,2.926998
230,2.909532,2.806534,2.926998
231,2.909251,2.809402,2.926998
232,2.909182,2.807968,2.928432
233,2.909073,2.806534,2.926998
234,2.909136,2.807968,2.926998
235,2.909267,2.809402,2.925564
236,2.909442,2.810836,2.9313
237,2.909412,2.807968,2.926998
238,2.909286,2.809402,2.926998
239,2.909099,2.809402,2.928432
240,2.909346,2.809402,2.926998
241,2.90932,2.809402,2.926998
242,2.909183,2.807968,2.926998
243,2.909422,2.810836,2.926998
244,2.909402,2.809402,2.926998
245,2.90937,2.807968,2.929866
246,2.909246,2.807968,2.928432
247,2.909179,2.810836,2.928432
248,2.909132,2.809402,2.926998
249,2.908999,2.809402,2.926998
250,2.909334,2.807968,2.926998
251,2.909368,2.809402,2.926998
252,2.909628,2.809402,2.926998
253,2.909281,2.807968,2.926998
254,2.909339,2.810836,2.928432
255,2.909542,2.809402,2.926998
256,2.909232,2.809402,2.928432
257,2.909307,2.810836,2.929866
258,2.909443,2.810836,2.926998
259,2.909175,2.809402,2.925564
260,2.909368,2.806534,2.926998
261,2.909437,2.807968,2.926998
262,2.909227,2.809402,2.928432
263,2.909505,2.806534,2.928432
264,2.909172,2.809402,2.926998
265,2.909094,2.807968,2.928432
266,2.90928,2.807968,2.928432
267,2.9091,2.802231,2.928432
268,2.909157,2.810836,2.926998
269,2.909376,2.809402,2.928432
270,2.909464,2.807968,2.928432
271,2.909132,2.809402,2.926998
272,2.909525,2.807968,2.926998
273,2.909496,2.809402,2.928432
274,2.909643,2.809402,2.926998
275,2.909689,2.809402,2.929866
276,2.90976,2.809402,2.926998
277,2.909572,2.807968,2.926998
278,2.909527,2.809402,2.928432
279,2.909435,2.809402,2.926998
280,2.909388,2.807968,2.926998
281,2.909468,2.809402,2.926998
282,2.909471,2.809402,2.926998
283,2.909282,2.807968,2.929866
284,2.909778,2.807968,2.926998
285,2.909606,2.807968,2.929866
286,2.909302,2.807968,2.928432
287,2.909115,2.809402,2.929866
288,2.908742,2.809402,2.925564
289,2.909282,2.807968,2.929866
290,2.909402,2.809402,2.926998
291,2.909206,2.809402,2.926998
292,2.909359,2.806534,2.928432
293,2.909639,2.807968,2.926998
294,2.909689,2.809402,2.926998
295,2.90967,2.809402,2.926998
296,2.909757,2.806534,2.929866
297,2.909505,2.809402,2.925564
298,2.909256,2.807968,2.928432
299,2.909322,2.809402,2.926998
300,2.909488,2.809402,2.926998
301,2.909477,2.803665,2.926998
302,2.909357,2.807968,2.926998
303,2.909367,2.807968,2.925564
304,2.909174,2.809402,2.926998
305,2.909269,2.809402,2.926998
306,2.909332,2.807968,2.926998
