Capacity_mAh,Voltage_V
0.0,2.842427
0.001683329024,2.825967
0.003366658048,2.820414
0.005049987072,2.816085
0.006733316096,2.814505
0.00841664512,2.812907
0.010099974144,2.812445
0.011783303168000001,2.811592
0.013466632192,2.814086
0.015149961216,2.814442
0.01683329024,2.814333
0.018516619264,2.814644
0.020199948288,2.814642
0.021883277312000002,2.814924
0.023566606336000002,2.814932
0.025249935360000003,2.814873
0.026933264384,2.814643
0.028616593408000008,2.814119
0.030299922432,2.813853
0.031983251456000006,2.813592
0.03366658048,2.813405
0.035349909504,2.81297
0.037033238528,2.812395
0.038716567552,2.812134
0.040399896576,2.811497
0.04208322560000001,2.811052
0.043766554624000004,2.810393
0.045449883648000004,2.809566
0.047133212672000005,2.809543
0.048816541696000006,2.809099
0.050499870720000006,2.808763
0.052183199744,2.808013
0.053866528768,2.807209
0.055549857792000015,2.806491
0.057233186816000016,2.805718
0.05891651584,2.804835
0.060599844864,2.804191
0.062283173888000004,2.803356
0.06396650291200001,2.802905
0.065649831936,2.802687
0.06733316096,2.801729
0.069016489984,2.801586
0.070699819008,2.800866
0.07238314803200001,2.800093
0.074066477056,2.7991
0.07574980608000001,2.798833
0.077433135104,2.798398
0.07911646412800001,2.797977
0.080799793152,2.797541
0.08248312217600001,2.797114
0.08416645120000002,2.796157
0.085849780224,2.795664
0.08753310924800001,2.795325
0.089216438272,2.794626
0.09089976729600001,2.793877
0.09258309632000002,2.793344
0.09426642534400001,2.792342
0.095949754368,2.791917
0.09763308339200001,2.791555
0.099316412416,2.790638
0.10099974144000001,2.789815
0.102683070464,2.789072
0.104366399488,2.788721
0.10604972851200001,2.787797
0.107733057536,2.787345
0.10941638656000001,2.786568
0.11109971558400003,2.786236
0.11278304460800001,2.785271
0.11446637363200003,2.784713
0.11614970265600001,2.784097
0.11783303168,2.78371
0.119516360704,2.782961
0.121199689728,2.782367
0.122883018752,2.781831
0.12456634777600001,2.781257
0.12624967680000002,2.78073
0.12793300582400002,2.779835
0.129616334848,2.779073
0.131299663872,2.77858
0.13298299289600002,2.778033
0.13466632192,2.777318
0.136349650944,2.776804
0.138032979968,2.77632
0.13971630899200002,2.775939
0.141399638016,2.775397
0.14308296704,2.774904
0.14476629606400002,2.775012
0.14644962508800002,2.774873
0.148132954112,2.774538
0.149816283136,2.774146
0.15149961216000002,2.773417
0.153182941184,2.77311
0.154866270208,2.772799
0.15654959923200001,2.772547
0.15823292825600002,2.771979
0.15991625728,2.771378
0.161599586304,2.770813
0.16328291532800002,2.770286
0.16496624435200002,2.769772
0.166649573376,2.769031
0.16833290240000004,2.768471
0.17001623142400002,2.768137
0.171699560448,2.767843
0.173382889472,2.767322
0.17506621849600001,2.766467
0.17674954752,2.765818
0.178432876544,2.765362
0.18011620556800004,2.764768
0.18179953459200002,2.763963
0.18348286361600002,2.763387
0.18516619264000003,2.763092
0.18684952166400004,2.762579
0.18853285068800002,2.761894
0.19021617971200003,2.761472
0.191899508736,2.760889
0.19358283776,2.760297
0.19526616678400002,2.759434
0.19694949580800003,2.758914
0.198632824832,2.758155
0.20031615385600005,2.757498
0.20199948288000003,2.757293
0.20368281190400003,2.75663
0.205366140928,2.755837
0.207049469952,2.755343
0.208732798976,2.754838
0.21041612800000004,2.754438
0.21209945702400002,2.753693
