Capacity_mAh,Voltage_V
0.0,3.181152
0.00030370292622222217,3.181012
0.0006074058524444443,3.179572
0.0009111087786666666,3.177256
0.0012148117048888887,3.17703
0.001518514631111111,3.176205
0.0018222175573333332,3.173977
0.0021259204835555553,3.173897
0.0024296234097777774,3.172953
0.002733326336,3.171132
0.003037029262222222,3.171205
0.0033407321884444444,3.170767
0.0036444351146666665,3.16919
0.003948138040888889,3.169292
0.004251840967111111,3.169028
0.004555543893333333,3.167203
0.004859246819555555,3.167558
0.005162949745777778,3.16722
0.005466652672,3.165314
0.005770355598222222,3.165609
0.006074058524444444,3.165193
0.006377761450666666,3.164193
0.006681464376888889,3.164066
0.00698516730311111,3.163972
0.007288870229333333,3.162727
0.0075925731555555554,3.162633
0.007896276081777778,3.162955
0.008199979008,3.161925
0.008503681934222221,3.161782
0.008807384860444445,3.161972
0.009111087786666666,3.160829
0.009414790712888888,3.160678
0.00971849363911111,3.160717
0.010022196565333335,3.159794
0.010325899491555556,3.159368
0.010629602417777778,3.159827
0.010933305344,3.159203
0.011237008270222223,3.158767
0.011540711196444444,3.158763
0.011844414122666666,3.158551
0.012148117048888888,3.157639
0.01245181997511111,3.158032
0.012755522901333333,3.157353
0.013059225827555554,3.15675
0.013362928753777778,3.157056
0.01366663168,3.156695
0.01397033460622222,3.15577
0.014274037532444444,3.156545
0.014577740458666666,3.156024
0.01488144338488889,3.154949
0.015185146311111111,3.155741
0.015488849237333333,3.155199
0.015792552163555556,3.15432
0.016096255089777776,3.154909
0.016399958016,3.15426
0.016703660942222223,3.153267
0.017007363868444442,3.154131
0.017311066794666666,3.153579
0.01761476972088889,3.152612
0.01791847264711111,3.153272
0.018222175573333332,3.153149
0.018525878499555556,3.151468
0.018829581425777776,3.152289
0.019133284352,3.152141
0.01943698727822222,3.150776
0.019740690204444446,3.151955
0.02004439313066667,3.15189
0.02034809605688889,3.15037
0.020651798983111112,3.151212
0.020955501909333332,3.151065
0.021259204835555556,3.149693
0.021562907761777775,3.150775
0.021866610688,3.1501
0.02217031361422222,3.148705
0.022474016540444446,3.149645
0.022777719466666665,3.149378
0.02308142239288889,3.148081
0.02338512531911111,3.148962
0.023688828245333332,3.148629
0.02399253117155556,3.147163
0.024296234097777775,3.148353
0.024599937024,3.148108
0.02490363995022222,3.146754
0.025207342876444445,3.147443
0.025511045802666665,3.146979
0.02581474872888889,3.145882
0.02611845165511111,3.146888
0.026422154581333332,3.146657
0.026725857507555555,3.145311
0.02702956043377778,3.146239
0.02733326336,3.146087
0.02763696628622222,3.144957
0.02794066921244444,3.145583
0.028244372138666665,3.145391
0.02854807506488889,3.143906
0.02885177799111111,3.144719
0.029155480917333332,3.144344
0.029459183843555555,3.142838
0.02976288676977778,3.143714
0.030066589696,3.143758
0.030370292622222222,3.142506
0.030673995548444445,3.143058
0.030977698474666665,3.14264
0.031281401400888885,3.141546
0.03158510432711111,3.142345
0.03188880725333333,3.142296
0.03219251017955555,3.140675
0.03249621310577778,3.141805
0.032799916032,3.14155
0.033103618958222225,3.140296
0.033407321884444445,3.141103
0.033711024810666665,3.140374
0.034014727736888885,3.13924
0.03431843066311111,3.14018
0.03462213358933333,3.140047
0.03492583651555555,3.138739
0.03522953944177778,3.1393
0.035533242368,3.139149
0.03583694529422222,3.13772
0.036140648220444445,3.138885
0.036444351146666665,3.13853
0.036748054072888885,3.137544
0.03705175699911111,3.138063
0.03735545992533333,3.137586
0.03765916285155555,3.136542
0.03796286577777778,3.137378
0.038266568704,3.136795
0.03857027163022222,3.13547
0.03887397455644444,3.135915
0.03917767748266666,3.136003
0.03948138040888889,3.134711
0.03978508333511111,3.13518
0.04008878626133334,3.134932
0.04039248918755555,3.133623
0.04069619211377778,3.134584
0.04099989504,3.134225
0.041303597966222225,3.132945
0.04160730089244444,3.134086
0.041911003818666664,3.133605
0.04221470674488889,3.132274
0.04251840967111111,3.133138
0.04282211259733333,3.133017
0.04312581552355555,3.13183
0.04342951844977778,3.132982
0.043733221376,3.13263
0.044036924302222225,3.131258
0.04434062722844444,3.132137
0.044644330154666664,3.131687
0.04494803308088889,3.130295
0.04525173600711112,3.130989
0.04555543893333333,3.130803
0.04585914185955555,3.12959
0.04616284478577778,3.130582
0.046466547712,3.130049
0.04677025063822222,3.128865
0.04707395356444444,3.129794
0.047377656490666664,3.129612
0.04768135941688889,3.128279
0.04798506234311112,3.129064
0.04828876526933333,3.128934
0.04859246819555555,3.127374
0.04889617112177778,3.128244
0.049199874048,3.127855
0.04950357697422222,3.126789
0.04980727990044444,3.127659
0.050110982826666664,3.12736
0.05041468575288889,3.126113
0.05071838867911111,3.127085
0.05102209160533333,3.126459
0.05132579453155556,3.125307
0.05162949745777778,3.126141
0.05193320038399999,3.125857
0.05223690331022222,3.124673
0.05254060623644444,3.125273
0.052844309162666664,3.124849
0.05314801208888889,3.123722
0.05345171501511111,3.124616
0.05375541794133333,3.124413
0.05405912086755556,3.123232
0.05436282379377778,3.124339
0.05466652672,3.124196
0.05497022964622222,3.122929
0.05527393257244444,3.123596
0.055577635498666664,3.12328
0.05588133842488888,3.122074
0.05618504135111111,3.122937
0.05648874427733333,3.122641
0.05679244720355556,3.121542
0.05709615012977778,3.122146
0.057399853056,3.121776
0.05770355598222222,3.12068
0.058007258908444444,3.121396
0.058310961834666664,3.120935
0.05861466476088888,3.119756
0.05891836768711111,3.12034
0.05922207061333333,3.120233
0.05952577353955556,3.118937
0.05982947646577777,3.119568
0.060133179392,3.119304
0.06043688231822222,3.118292
0.060740585244444444,3.119164
0.06104428817066666,3.118862
0.06134799109688889,3.117355
0.06165169402311111,3.118241
0.06195539694933333,3.118125
0.06225909987555556,3.11676
0.06256280280177777,3.117564
0.062866505728,3.117353
0.06317020865422222,3.116291
0.06347391158044445,3.116819
0.06377761450666666,3.116709
0.06408131743288889,3.115578
0.0643850203591111,3.116174
0.06468872328533333,3.115888
0.06499242621155556,3.114818
0.06529612913777777,3.115619
0.065599832064,3.115309
0.06590353499022222,3.113875
0.06620723791644445,3.114738
0.06651094084266666,3.11458
0.06681464376888889,3.11335
0.0671183466951111,3.11414
0.06742204962133333,3.114049
0.06772575254755556,3.112747
0.06802945547377777,3.113513
0.0683331584,3.1132
0.06863686132622222,3.1123
0.06894056425244444,3.112962
0.06924426717866666,3.112769
0.06954797010488889,3.111618
0.0698516730311111,3.112593
0.07015537595733333,3.112068
0.07045907888355556,3.110692
0.07076278180977777,3.1113
0.071066484736,3.111086
0.07137018766222222,3.109697
0.07167389058844444,3.110391
0.07197759351466666,3.110531
0.07228129644088889,3.109412
0.0725849993671111,3.110017
0.07288870229333333,3.109575
0.07319240521955556,3.108733
0.07349610814577777,3.109348
0.073799811072,3.108902
0.07410351399822222,3.107744
0.07440721692444444,3.108964
0.07471091985066666,3.108605
0.07501462277688888,3.107537
0.0753183257031111,3.107878
0.07562202862933333,3.10776
0.07592573155555556,3.106648
0.07622943448177777,3.10727
0.076533137408,3.10734
0.07683684033422222,3.106107
0.07714054326044444,3.106683
0.07744424618666668,3.106719
0.07774794911288888,3.10579
0.07805165203911112,3.106367
0.07835535496533332,3.106062
0.07865905789155556,3.105329
0.07896276081777778,3.106008
0.079266463744,3.10584
0.07957016667022222,3.104713
0.07987386959644444,3.105057
0.08017757252266668,3.104775
0.08048127544888889,3.103665
0.0807849783751111,3.104106
0.08108868130133333,3.104084
0.08139238422755556,3.103446
0.08169608715377775,3.103354
0.08199979008,3.103641
0.08230349300622222,3.10276
0.08260719593244445,3.102722
0.08291089885866666,3.102911
0.08321460178488888,3.10265
0.08351830471111112,3.102493
0.08382200763733333,3.102948
0.08412571056355554,3.102252
0.08442941348977778,3.102382
0.084733116416,3.102363
0.08503681934222222,3.101789
0.08534052226844444,3.101772
0.08564422519466666,3.102123
0.08594792812088889,3.101428
0.0862516310471111,3.101147
0.08655533397333333,3.101419
0.08685903689955556,3.10078
0.08716273982577778,3.100621
0.087466442752,3.10099
0.08777014567822222,3.100596
0.08807384860444445,3.100013
0.08837755153066666,3.100285
0.08868125445688887,3.099682
0.08898495738311112,3.098987
0.08928866030933333,3.099411
0.08959236323555554,3.099115
0.08989606616177778,3.098675
0.090199769088,3.099201
0.09050347201422224,3.098677
0.09080717494044444,3.098094
0.09111087786666666,3.098483
0.09141458079288889,3.097928
0.0917182837191111,3.097169
0.09202198664533331,3.097794
0.09232568957155556,3.097621
0.09262939249777778,3.096673
0.092933095424,3.097351
0.09323679835022222,3.097347
0.09354050127644443,3.096266
0.09384420420266668,3.097108
0.09414790712888887,3.096951
0.09445161005511112,3.095901
0.09475531298133333,3.096495
0.09505901590755554,3.096261
0.09536271883377778,3.095235
0.09566642176,3.095692
0.09597012468622224,3.09567
0.09627382761244443,3.094517
0.09657753053866666,3.095314
0.09688123346488889,3.094905
0.0971849363911111,3.094058
0.09748863931733331,3.094919
0.09779234224355556,3.094687
0.09809604516977778,3.09344
0.098399748096,3.094048
0.09870345102222222,3.093925
0.09900715394844443,3.092853
0.09931085687466668,3.093521
0.09961455980088887,3.093222
0.09991826272711112,3.092241
0.10022196565333333,3.093038
0.10052566857955554,3.092649
0.10082937150577778,3.091547
0.101133074432,3.09234
0.10143677735822222,3.091926
0.10174048028444443,3.091155
0.10204418321066666,3.091924
0.10234788613688889,3.091778
0.10265158906311111,3.09079
0.10295529198933331,3.091262
0.10325899491555555,3.091161
0.10356269784177778,3.089946
0.10386640076799998,3.090977
0.10417010369422222,3.090907
0.10447380662044443,3.089808
0.10477750954666668,3.090549
0.10508121247288887,3.090592
0.1053849153991111,3.089274
0.10568861832533333,3.089699
0.10599232125155555,3.089344
0.10629602417777778,3.088171
0.106599727104,3.088942
0.10690343003022222,3.088728
0.10720713295644443,3.087835
0.10751083588266666,3.088204
0.10781453880888889,3.088146
0.10811824173511111,3.087335
0.10842194466133331,3.087743
0.10872564758755555,3.08757
0.10902935051377778,3.08642
0.10933305344,3.087231
0.10963675636622222,3.087184
0.10994045929244443,3.086089
0.11024416221866667,3.086823
0.11054786514488887,3.086815
0.1108515680711111,3.085706
0.11115527099733333,3.086584
0.11145897392355555,3.086436
0.11176267684977775,3.085434
0.112066379776,3.086045
0.11237008270222222,3.086016
0.11267378562844445,3.084548
0.11297748855466666,3.085611
0.11328119148088887,3.085371
0.11358489440711111,3.084135
0.11388859733333331,3.084749
0.11419230025955555,3.084595
0.11449600318577778,3.083237
0.114799706112,3.084343
0.11510340903822222,3.084138
0.11540711196444443,3.083029
0.11571081489066667,3.08356
0.11601451781688889,3.083713
0.1163182207431111,3.082472
0.11662192366933333,3.083499
0.11692562659555555,3.083076
0.11722932952177775,3.081935
0.117533032448,3.082706
0.11783673537422222,3.082829
0.11814043830044445,3.081808
0.11844414122666666,3.082616
0.11874784415288887,3.082239
0.11905154707911111,3.08105
0.11935525000533333,3.081775
0.11965895293155554,3.081583
0.11996265585777778,3.079875
0.120266358784,3.080939
0.12057006171022222,3.081003
0.12087376463644443,3.080003
0.12117746756266666,3.080902
0.12148117048888889,3.080767
0.1217848734151111,3.079679
0.12208857634133333,3.080371
0.12239227926755555,3.07981
0.12269598219377778,3.078652
0.12299968512,3.079376
0.12330338804622222,3.079184
0.12360709097244445,3.07838
0.12391079389866666,3.07906
0.12421449682488887,3.07917
0.12451819975111111,3.078299
0.12482190267733333,3.078761
0.12512560560355554,3.078493
0.12542930852977777,3.07756
0.125733011456,3.078035
0.12603671438222222,3.078064
0.12634041730844445,3.077062
0.12664412023466665,3.077506
0.1269478231608889,3.077234
0.1272515260871111,3.076313
0.12755522901333333,3.076972
0.12785893193955555,3.076733
0.12816263486577778,3.07577
0.128466337792,3.076516
0.1287700407182222,3.07647
0.12907374364444443,3.075384
0.12937744657066666,3.075956
0.1296811494968889,3.075565
0.1299848524231111,3.074459
0.13028855534933334,3.07539
0.13059225827555554,3.075327
0.13089596120177777,3.074154
0.131199664128,3.074636
0.13150336705422222,3.074554
0.13180706998044445,3.073777
0.13211077290666665,3.07436
0.1324144758328889,3.074018
0.1327181787591111,3.073304
0.13302188168533333,3.074097
0.13332558461155555,3.073797
0.13362928753777778,3.073034
0.133932990464,3.073445
0.1342366933902222,3.073516
0.13454039631644443,3.07268
0.13484409924266666,3.073458
0.1351478021688889,3.072935
0.1354515050951111,3.071844
0.13575520802133334,3.072865
0.13605891094755554,3.072548
0.13636261387377777,3.071584
0.1366663168,3.072228
0.13697001972622222,3.072017
0.13727372265244445,3.071189
0.13757742557866667,3.071911
0.13788112850488887,3.071602
0.1381848314311111,3.070531
0.13848853435733333,3.071464
0.13879223728355555,3.071475
0.13909594020977778,3.070307
0.139399643136,3.070894
0.1397033460622222,3.070546
0.14000704898844443,3.069534
0.14031075191466666,3.070488
