sod,voltage
0.0,2.882023
5.371046894800516e-06,2.882761
1.0742093789601033e-05,2.882788
1.6113140684401553e-05,2.883432
2.1484187579202066e-05,2.883917
2.6855234474002585e-05,2.884354
3.222628136880311e-05,2.884742
3.759732826360362e-05,2.884921
4.296837515840413e-05,2.88533
4.8339422053204654e-05,2.885455
5.371046894800517e-05,2.885781
5.908151584280569e-05,2.886045
6.445256273760621e-05,2.886166
6.982360963240672e-05,2.886165
7.519465652720725e-05,2.886297
8.056570342200776e-05,2.886674
8.593675031680826e-05,2.886852
9.13077972116088e-05,2.88685
9.667884410640931e-05,2.886982
0.00010204989100120984,2.886912
0.00010742093789601034,2.887031
0.00011279198479081085,2.886974
0.00011816303168561138,2.887113
0.00012353407858041189,2.887079
0.00012890512547521243,2.887285
0.00013427617237001294,2.887221
0.00013964721926481343,2.887169
0.00014501826615961397,2.887294
0.0001503893130544145,2.8874
0.000155760359949215,2.887184
0.00016113140684401552,2.887489
0.000166502453738816,2.887778
0.00017187350063361653,2.887841
0.0001772445475284171,2.887841
0.0001826155944232176,2.887865
0.0001879866413180181,2.887763
0.00019335768821281861,2.88783
0.00019872873510761913,2.887872
0.00020409978200241967,2.887901
0.0002094708288972202,2.887735
0.00021484187579202068,2.88773
0.0002202129226868212,2.887984
0.0002255839695816217,2.887993
0.00023095501647642225,2.887784
0.00023632606337122277,2.887785
0.00024169711026602328,2.887824
0.00024706815716082377,2.887845
0.0002524392040556243,2.887752
0.00025781025095042486,2.887598
0.00026318129784522534,2.887817
0.0002685523447400259,2.887946
0.0002739233916348264,2.887599
0.00027929443852962686,2.887691
0.0002846654854244274,2.887834
0.00029003653231922795,2.88794
0.00029540757921402844,2.887704
0.000300778626108829,2.887572
0.00030614967300362947,2.887944
0.00031152071989843,2.887808
0.0003168917667932305,2.88769
0.00032226281368803104,2.887825
0.00032763386058283153,2.887572
0.000333004907477632,2.887661
0.00033837595437243256,2.88735
0.00034374700126723305,2.88711
0.00034911804816203365,2.88731
0.0003544890950568342,2.887217
0.0003598601419516347,2.8872
0.0003652311888464352,2.887361
0.0003706022357412357,2.88739
0.0003759732826360362,2.886986
0.0003813443295308367,2.886747
0.00038671537642563723,2.886835
0.0003920864233204377,2.886682
0.00039745747021523826,2.88681
0.0004028285171100388,2.88702
0.00040819956400483935,2.886858
0.00041357061089963983,2.886912
0.0004189416577944404,2.886497
0.0004243127046892409,2.886312
0.00042968375158404135,2.886397
0.0004350547984788419,2.886462
0.0004404258453736424,2.886187
0.00044579689226844293,2.886074
0.0004511679391632434,2.886097
0.000456538986058044,2.885961
0.0004619100329528445,2.886089
0.00046728107984764504,2.885788
0.00047265212674244553,2.885546
0.0004780231736372461,2.885751
0.00048339422053204656,2.885472
0.000488765267426847,2.885543
0.0004941363143216475,2.885488
0.0004995073612164481,2.885728
0.0005048784081112486,2.885542
0.0005102494550060492,2.885461
0.0005156205019008497,2.885389
0.0005209915487956501,2.885168
0.0005263625956904507,2.885088
0.0005317336425852512,2.885008
0.0005371046894800518,2.884595
0.0005424757363748522,2.884685
0.0005478467832696528,2.884978
0.0005532178301644532,2.885303
0.0005585888770592537,2.885133
0.0005639599239540543,2.884712
0.0005693309708488548,2.884573
0.0005747020177436554,2.884277
0.0005800730646384559,2.884215
0.0005854441115332564,2.884192
0.0005908151584280569,2.884109
0.0005961862053228575,2.884201
0.000601557252217658,2.884149
0.0006069282991124585,2.884103
0.0006122993460072589,2.883893
0.0006176703929020595,2.884023
0.00062304143979686,2.884099
0.0006284124866916606,2.88397
0.000633783533586461,2.883638
0.0006391545804812617,2.883699
0.0006445256273760621,2.883691
0.0006498966742708626,2.883841
0.0006552677211656631,2.883602
0.0006606387680604636,2.88355
0.000666009814955264,2.883385
0.0006713808618500647,2.883333
0.0006767519087448651,2.883435
0.0006821229556396657,2.883612
0.0006874940025344661,2.883308
0.0006928650494292665,2.883439
0.0006982360963240673,2.88307
0.0007036071432188678,2.883204
0.0007089781901136684,2.882669
0.0007143492370084688,2.88272
0.0007197202839032694,2.88287
0.0007250913307980699,2.882643
0.0007304623776928704,2.882445
0.0007358334245876708,2.882364
0.0007412044714824714,2.882535
0.000746575518377272,2.882469
0.0007519465652720724,2.882078
0.0007573176121668728,2.882009
0.0007626886590616734,2.882082
0.000768059705956474,2.882062
0.0007734307528512745,2.882047
0.0007788017997460751,2.881886
0.0007841728466408754,2.881769
0.000789543893535676,2.881551
0.0007949149404304765,2.88175
0.0008002859873252773,2.881768
0.0008056570342200776,2.881515
0.000811028081114878,2.881393
0.0008163991280096787,2.881289
0.0008217701749044792,2.881431
0.0008271412217992797,2.881274
0.0008325122686940801,2.881013
0.0008378833155888808,2.880983
0.0008432543624836812,2.881043
0.0008486254093784818,2.881203
0.0008539964562732822,2.881624
0.0008593675031680827,2.881572
0.0008647385500628832,2.881074
0.0008701095969576838,2.881074
0.0008754806438524842,2.881101
0.0008808516907472848,2.880915
0.0008862227376420853,2.880862
0.0008915937845368859,2.881242
0.0008969648314316863,2.880872
0.0009023358783264868,2.88083
0.0009077069252212876,2.880615
0.000913077972116088,2.8806
0.0009184490190108884,2.880319
0.000923820065905689,2.880704
0.0009291911128004894,2.880429
0.0009345621596952901,2.880386
0.0009399332065900905,2.880105
0.0009453042534848911,2.880356
0.0009506753003796915,2.88023
0.0009560463472744921,2.880056
0.0009614173941692926,2.879946
0.0009667884410640931,2.879761
0.0009721594879588936,2.879636
0.000977530534853694,2.879402
0.0009829015817484946,2.879149
0.000988272628643295,2.879344
0.0009936436755380957,2.879293
0.0009990147224328962,2.879228
0.0010043857693276968,2.879061
0.0010097568162224973,2.879049
0.001015127863117298,2.879182
0.0010204989100120983,2.879278
0.001025869956906899,2.879271
0.0010312410038016994,2.878889
0.0010366120506964999,2.878991
0.0010419830975913003,2.878748
0.001047354144486101,2.878711
0.0010527251913809014,2.878903
0.0010580962382757018,2.87884
0.0010634672851705025,2.878462
0.001068838332065303,2.878341
0.0010742093789601035,2.878229
0.001079580425854904,2.878334
0.0010849514727497044,2.878251
0.001090322519644505,2.878081
0.0010956935665393055,2.878009
0.0011010646134341062,2.877695
0.0011064356603289064,2.877766
0.001111806707223707,2.877928
0.0011171777541185075,2.877749
0.0011225488010133083,2.877598
0.0011279198479081085,2.877661
0.0011332908948029092,2.877848
0.0011386619416977096,2.877878
0.0011440329885925103,2.877384
0.0011494040354873107,2.877469
0.0011547750823821111,2.87725
0.0011601461292769118,2.87724
0.0011655171761717122,2.877159
0.0011708882230665129,2.877138
0.001176259269961313,2.877336
0.0011816303168561137,2.877041
0.0011870013637509144,2.877092
0.001192372410645715,2.876875
0.0011977434575405155,2.876461
0.001203114504435316,2.876445
0.0012084855513301164,2.876494
0.001213856598224917,2.876325
0.0012192276451197172,2.876223
0.0012245986920145179,2.876253
0.0012299697389093185,2.876211
0.001235340785804119,2.875949
0.0012407118326989194,2.875978
0.00124608287959372,2.876406
0.0012514539264885205,2.876179
0.0012568249733833211,2.876434
0.0012621960202781213,2.876238
0.001267567067172922,2.876115
0.0012729381140677224,2.875679
0.0012783091609625233,2.875863
0.0012836802078573233,2.875579
0.0012890512547521242,2.875732
0.0012944223016469248,2.875657
0.0012997933485417253,2.87551
0.0013051643954365257,2.875235
0.0013105354423313261,2.875041
0.0013159064892261268,2.874976
0.0013212775361209272,2.87522
0.0013266485830157276,2.875214
0.001332019629910528,2.875182
0.001337390676805329,2.875034
0.0013427617237001294,2.875058
0.0013481327705949298,2.874428
0.0013535038174897302,2.874676
0.001358874864384531,2.87465
0.0013642459112793313,2.874797
0.0013696169581741322,2.87464
0.0013749880050689322,2.874125
0.001380359051963733,2.874331
0.001385730098858533,2.874025
0.001391101145753334,2.874062
0.0013964721926481346,2.873911
0.001401843239542935,2.873986
0.0014072142864377357,2.873873
0.0014125853333325359,2.873692
0.0014179563802273368,2.873694
0.0014233274271221372,2.873722
0.0014286984740169376,2.873643
0.001434069520911738,2.873635
0.0014394405678065387,2.873617
0.001444811614701339,2.873801
0.0014501826615961398,2.873449
0.00145555370849094,2.873245
0.0014609247553857409,2.873095
0.001466295802280541,2.873189
0.0014716668491753415,2.873138
0.0014770378960701422,2.873096
0.0014824089429649428,2.873135
0.001487779989859743,2.873059
0.001493151036754544,2.872921
0.0014985220836493444,2.872941
0.0015038931305441448,2.872483
0.0015092641774389454,2.872708
0.0015146352243337457,2.87294
0.0015200062712285465,2.872905
0.0015253773181233467,2.873091
0.0015307483650181476,2.872772
0.001536119411912948,2.873094
0.0015414904588077485,2.873193
0.001546861505702549,2.872603
0.0015522325525973496,2.872415
0.0015576035994921502,2.872278
0.0015629746463869504,2.872287
0.0015683456932817509,2.872191
0.0015737167401765517,2.872055
0.001579087787071352,2.871597
0.0015844588339661524,2.871803
0.001589829880860953,2.871901
0.0015952009277557537,2.871845
0.0016005719746505546,2.871756
0.0016059430215453546,2.871794
0.0016113140684401552,2.871875
0.0016166851153349559,2.871763
0.001622056162229756,2.871363
0.0016274272091245565,2.871181
0.0016327982560193574,2.87142
0.0016381693029141578,2.871348
0.0016435403498089585,2.8711
0.0016489113967037587,2.871029
0.0016542824435985593,2.871019
0.00165965349049336,2.870927
0.0016650245373881602,2.870958
0.0016703955842829609,2.870843
0.0016757666311777615,2.870877
0.0016811376780725615,2.870479
0.0016865087249673624,2.870708
0.0016918797718621628,2.870602
0.0016972508187569637,2.87029
0.001702621865651764,2.870341
0.0017079929125465643,2.870432
0.0017133639594413652,2.870273
0.0017187350063361654,2.870154
0.001724106053230966,2.870088
0.0017294771001257665,2.870124
0.0017348481470205672,2.870257
0.0017402191939153676,2.870027
0.0017455902408101682,2.869789
0.0017509612877049685,2.86967
0.0017563323345997693,2.869418
0.0017617033814945695,2.869488
0.0017670744283893704,2.869275
0.0017724454752841706,2.869309
0.001777816522178971,2.869321
0.0017831875690737717,2.869373
0.0017885586159685724,2.869154
0.0017939296628633726,2.869005
0.0017993007097581732,2.86866
0.0018046717566529737,2.868581
0.0018100428035477745,2.868533
0.0018154138504425752,2.868395
0.0018207848973373752,2.867996
0.001826155944232176,2.868244
0.0018315269911269765,2.868269
0.0018368980380217767,2.86834
0.0018422690849165774,2.86815
0.001847640131811378,2.867723
0.0018530111787061787,2.867638
0.0018583822256009789,2.867708
0.0018637532724957793,2.867636
0.0018691243193905802,2.867837
0.0018744953662853806,2.867349
0.001879866413180181,2.867648
0.0018852374600749815,2.86723
0.0018906085069697821,2.867362
0.0018959795538645823,2.866973
0.001901350600759383,2.866691
0.0019067216476541836,2.866426
0.0019120926945489843,2.866596
0.0019174637414437843,2.86676
0.0019228347883385852,2.866375
0.0019282058352333858,2.866497
0.0019335768821281863,2.866547
0.001938947929022987,2.866197
0.0019443189759177871,2.866185
0.001949690022812588,2.866167
0.001955061069707388,2.865965
0.0019604321166021886,2.865959
0.0019658031634969893,2.865996
0.00197117421039179,2.865786
0.00197654525728659,2.865809
0.001981916304181391,2.865582
0.0019872873510761915,2.865473
0.001992658397970992,2.865396
0.0019980294448657923,2.865075
0.002003400491760593,2.865234
0.0020087715386553936,2.864874
0.002014142585550194,2.864881
0.0020195136324449945,2.865119
0.002024884679339795,2.865102
0.002030255726234596,2.865426
0.002035626773129396,2.865241
0.0020409978200241967,2.865084
0.0020463688669189973,2.864815
0.002051739913813798,2.864679
0.0020571109607085978,2.86492
0.002062482007603399,2.864807
0.002067853054498199,2.865044
0.0020732241013929997,2.864325
0.0020785951482878,2.864
0.0020839661951826006,2.863807
0.0020893372420774012,2.863679
0.002094708288972202,2.8638
0.002100079335867002,2.863433
0.0021054503827618028,2.863747
0.0021108214296566034,2.863696
0.0021161924765514036,2.863693
0.0021215635234462043,2.863659
0.002126934570341005,2.86362
0.002132305617235805,2.862809
0.002137676664130606,2.86272
0.0021430477110254064,2.862809
0.002148418757920207,2.862977
0.0021537898048150073,2.862704
0.002159160851709808,2.863036
0.0021645318986046086,2.862953
0.002169902945499409,2.86258
0.0021752739923942095,2.862383
0.00218064503928901,2.862388
0.002186016086183811,2.862457
0.002191387133078611,2.862196
0.0021967581799734117,2.862402
0.0022021292268682123,2.862113
0.0022075002737630125,2.86228
0.0022128713206578127,2.861642
0.002218242367552614,2.861814
0.002223613414447414,2.861753
