EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 172800/172800,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/06 09:23:31,,,
,,,
"V1: 0.500000, 1.406250",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
172,2.731034,2.466652,2.909789
173,2.730392,2.466652,2.909789
174,2.73007,2.468086,2.908355
175,2.729873,2.468086,2.908355
176,2.729246,2.463784,2.908355
177,2.728722,2.465218,2.911223
178,2.728385,2.468086,2.908355
179,2.727918,2.466652,2.905487
180,2.727467,2.465218,2.905487
181,2.726961,2.465218,2.906921
182,2.726292,2.465218,2.905487
183,2.725726,2.463784,2.906921
184,2.725638,2.465218,2.905487
185,2.725229,2.465218,2.904052
186,2.724944,2.463784,2.906921
187,2.72422,2.465218,2.904052
188,2.724075,2.463784,2.905487
189,2.723746,2.463784,2.89975
190,2.72309,2.463784,2.901184
191,2.723122,2.46235,2.902618
192,2.722556,2.46235,2.901184
193,2.722144,2.463784,2.89975
194,2.721826,2.463784,2.898316
195,2.721555,2.460916,2.898316
196,2.721407,2.460916,2.898316
197,2.72085,2.460916,2.898316
198,2.720578,2.46235,2.896882
199,2.720237,2.460916,2.898316
200,2.719718,2.458047,2.895448
201,2.71937,2.460916,2.895448
202,2.719184,2.463784,2.896882
203,2.719076,2.46235,2.89258
204,2.718739,2.463784,2.894014
205,2.71825,2.459481,2.894014
206,2.717654,2.459481,2.894014
207,2.717409,2.46235,2.894014
208,2.716909,2.460916,2.891145
209,2.716364,2.456613,2.891145
210,2.715804,2.460916,2.891145
211,2.71539,2.458047,2.891145
212,2.714862,2.459481,2.89258
213,2.71462,2.459481,2.891145
214,2.714347,2.456613,2.888277
215,2.713766,2.458047,2.888277
216,2.713354,2.455179,2.889711
217,2.713332,2.458047,2.886843
218,2.712656,2.458047,2.888277
219,2.712367,2.458047,2.889711
220,2.711818,2.455179,2.886843
221,2.711442,2.456613,2.886843
222,2.710751,2.455179,2.885409
223,2.710131,2.455179,2.886843
224,2.709888,2.453745,2.885409
225,2.709475,2.453745,2.883975
226,2.709302,2.452311,2.885409
227,2.708839,2.452311,2.883975
