EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 172800/172800,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/05 08:57:56,,,
,,,
"V1: 0.500000, 1.265625",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
0,3.016243,2.730526,3.153586
1,3.01281,2.729092,3.14785
2,3.009308,2.727658,3.143547
3,3.006171,2.72479,3.139245
4,3.003235,2.723356,3.134943
5,3.000475,2.723356,3.13064
6,2.997679,2.721922,3.129206
7,2.99501,2.719054,3.124904
8,2.992107,2.719054,3.12347
9,2.989688,2.716185,3.120602
10,2.987244,2.716185,3.114865
11,2.98545,2.713317,3.113431
12,2.982871,2.710449,3.113431
13,2.98092,2.711883,3.107695
14,2.978436,2.711883,3.104826
15,2.976705,2.710449,3.103392
16,2.974499,2.706147,3.100524
17,2.97233,2.706147,3.097656
18,2.970448,2.703279,3.094788
19,2.968931,2.706147,3.094788
20,2.966851,2.703279,3.093354
21,2.964989,2.704713,3.087617
22,2.963319,2.701844,3.086183
23,2.961613,2.701844,3.086183
24,2.959961,2.701844,3.083315
25,2.958338,2.70041,3.081881
26,2.956707,2.696108,3.077579
27,2.955394,2.698976,3.079013
28,2.953904,2.697542,3.07471
29,2.952182,2.697542,3.07471
30,2.950655,2.69324,3.073276
31,2.94927,2.696108,3.071842
32,2.947911,2.694674,3.06754
33,2.946852,2.690372,3.066106
34,2.945417,2.691806,3.064672
35,2.944129,2.688937,3.063238
36,2.943006,2.691806,3.061803
37,2.941648,2.691806,3.060369
38,2.940054,2.686069,3.060369
39,2.939233,2.688937,3.058935
40,2.937917,2.687503,3.057501
41,2.936604,2.687503,3.054633
42,2.935589,2.687503,3.051765
43,2.934649,2.684635,3.053199
44,2.933527,2.686069,3.051765
45,2.932533,2.684635,3.050331
46,2.93136,2.683201,3.048897
47,2.930286,2.680333,3.047462
48,2.928982,2.681767,3.046028
49,2.928175,2.683201,3.044594
50,2.926986,2.680333,3.044594
51,2.926062,2.681767,3.041726
52,2.924963,2.680333,3.041726
53,2.924003,2.677465,3.038858
54,2.922608,2.677465,3.037424
