EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 51639/51846"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/29 01:32:55"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
0,3.194442
1,3.170019
2,3.155398
3,3.147269
4,3.141765
5,3.137442
6,3.133070
7,3.128799
8,3.124483
9,3.120149
10,3.116516
11,3.111867
12,3.108138
13,3.104406
14,3.100792
15,3.097361
16,3.093751
17,3.090145
18,3.086519
19,3.083372
20,3.080208
21,3.077176
22,3.073979
23,3.070817
24,3.067737
25,3.065213
26,3.062447
27,3.059615
28,3.057063
29,3.054146
30,3.051654
31,3.049296
32,3.046767
33,3.044558
34,3.042663
35,3.040576
36,3.038506
37,3.036332
38,3.034002
39,3.032347
40,3.030387
41,3.028480
42,3.026661
43,3.024709
44,3.022844
45,3.021301
46,3.019962
47,3.018018
48,3.015642
49,3.013918
50,3.011978
51,3.010459
52,3.008964
53,3.007359
54,3.005852
55,3.004225
56,3.002921
57,3.000979
58,2.999775
59,2.998292
60,2.996972
61,2.995411
62,2.994166
63,2.992539
64,2.991221
65,2.990100
66,2.988470
67,2.987400
68,2.985793
69,2.984801
70,2.983617
71,2.982497
72,2.980882
73,2.979570
74,2.978271
75,2.976966
76,2.976140
77,2.975033
78,2.973808
79,2.973066
80,2.972214
81,2.970922
82,2.969714
83,2.968712
84,2.967304
85,2.966348
86,2.965367
87,2.964361
88,2.963323
89,2.962197
90,2.961187
91,2.959962
92,2.959114
93,2.957901
94,2.957132
95,2.956263
96,2.955300
97,2.954203
98,2.953256
99,2.952469
100,2.951301
101,2.950477
102,2.949422
103,2.948479
104,2.947900
105,2.947026
106,2.946240
107,2.945414
108,2.943917
109,2.943217
110,2.942250
111,2.941446
112,2.940654
113,2.939799
114,2.938977
115,2.938409
116,2.937529
117,2.936754
118,2.935982
119,2.935369
120,2.934537
121,2.933651
122,2.932867
123,2.931971
124,2.931033
125,2.929893
126,2.928992
127,2.928194
128,2.927550
129,2.927049
130,2.926027
131,2.925450
132,2.924769
133,2.923803
134,2.923266
135,2.922370
136,2.921611
137,2.920951
138,2.920353
139,2.919571
140,2.918973
141,2.918130
142,2.917222
143,2.916759
144,2.915859
145,2.915087
146,2.914791
147,2.914283
148,2.913370
149,2.912863
150,2.912079
151,2.911419
152,2.910841
153,2.910199
154,2.909210
155,2.908755
156,2.908183
157,2.907602
158,2.906844
159,2.906594
160,2.906034
161,2.905488
162,2.904998
163,2.903920
164,2.903229
165,2.902671
166,2.902046
167,2.901445
168,2.901046
169,2.900621
170,2.900303
171,2.899702
172,2.899279
173,2.898736
174,2.898000
175,2.897094
176,2.896690
177,2.896611
178,2.895892
179,2.895186
180,2.894712
181,2.894147
182,2.893427
183,2.892829
184,2.892306
185,2.891776
186,2.891323
187,2.890623
188,2.890176
189,2.889852
190,2.889120
191,2.888468
192,2.888149
193,2.887773
194,2.887057
195,2.886787
196,2.886319
197,2.885821
198,2.885281
199,2.884948
200,2.884271
201,2.883727
202,2.883167
203,2.882897
204,2.882611
205,2.881775
206,2.880933
207,2.880272
208,2.880246
209,2.879585
210,2.879132
211,2.878747
212,2.878000
213,2.877933
214,2.877401
215,2.876747
216,2.876414
217,2.875906
218,2.875628
219,2.875175
220,2.874590
221,2.873911
222,2.873796
223,2.873610
224,2.873059
225,2.872492
226,2.871987
227,2.871576
228,2.871698
229,2.871049
230,2.870600
231,2.870317
232,2.869824
233,2.869213
234,2.868940
235,2.868705
236,2.868323
237,2.867953
238,2.867574
239,2.866976
240,2.866629
241,2.866192
242,2.865934
243,2.865881
244,2.865525
245,2.865127
246,2.864442
247,2.863853
248,2.863473
249,2.862995
250,2.862515
251,2.862116
252,2.861913
253,2.861477
254,2.861447
255,2.861147
256,2.860754
257,2.860470
258,2.859750
259,2.859212
260,2.859042
261,2.858682
262,2.858387
263,2.857961
264,2.857436
265,2.857178
266,2.857000
267,2.856344
268,2.855916
269,2.855671
270,2.855291
271,2.854886
272,2.854760
273,2.854356
274,2.854143
275,2.853654
276,2.853011
277,2.852938
278,2.852607
279,2.852243
280,2.852014
281,2.851673
282,2.851346
283,2.851136
284,2.850743
285,2.850459
286,2.850460
287,2.850202
288,2.849905
289,2.849407
290,2.849056
291,2.848885
292,2.848443
293,2.848395
294,2.847664
295,2.847445
296,2.847120
297,2.847126
298,2.847206
299,2.846558
300,2.846223
301,2.845593
302,2.845055
303,2.844863
304,2.844619
305,2.844509
306,2.844422
307,2.843954
308,2.843523
309,2.843339
310,2.843105
311,2.843028
312,2.842545
313,2.842172
314,2.841983
315,2.841520
316,2.841301
317,2.841288
318,2.841082
319,2.840639
320,2.840341
321,2.840236
322,2.839622
323,2.839453
324,2.839142
325,2.838885
326,2.838542
327,2.838295
328,2.837942
329,2.837693
330,2.837360
331,2.837086
332,2.836828
333,2.836538
334,2.836566
335,2.836175
336,2.835903
337,2.835548
338,2.835140
339,2.834950
340,2.834421
341,2.834625
342,2.834460
343,2.833829
344,2.833396
345,2.833176
346,2.832998
347,2.833010
348,2.832669
349,2.832185
350,2.831870
351,2.831601
352,2.831321
353,2.831143
354,2.830993
355,2.830557
356,2.830245
357,2.830580
358,2.830138
359,2.830046
360,2.829747
361,2.829831
362,2.829417
363,2.829206
364,2.828625
365,2.828169
366,2.828345
367,2.827821
368,2.827626
369,2.827456
370,2.827078
371,2.827196
372,2.826888
373,2.826985
374,2.826511
375,2.826181
376,2.825893
377,2.825583
378,2.825282
379,2.825068
380,2.824712
381,2.824759
382,2.824264
383,2.824149
384,2.824110
385,2.823672
386,2.823266
387,2.823020
388,2.822576
389,2.822400
390,2.821980
391,2.822307
392,2.822052
393,2.821773
394,2.821525
