EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:33:13"

"V1: 1.000000, 1.600000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
174,3.121689,2.439404,3.146415
175,3.121671,2.440838,3.147850
176,3.121251,2.439404,3.146415
177,3.120589,2.437970,3.144981
178,3.120263,2.436536,3.144981
179,3.119848,2.437970,3.144981
180,3.119377,2.437970,3.144981
181,3.119280,2.437970,3.143547
182,3.119043,2.436536,3.144981
183,3.118846,2.436536,3.143547
184,3.118232,2.436536,3.144981
185,3.117623,2.437970,3.142113
186,3.117448,2.433668,3.142113
187,3.116922,2.435102,3.142113
188,3.116534,2.435102,3.143547
189,3.116305,2.436536,3.143547
190,3.115844,2.435102,3.142113
191,3.115450,2.435102,3.140679
192,3.114922,2.433668,3.139245
193,3.114553,2.432234,3.139245
194,3.114393,2.435102,3.139245
195,3.113878,2.432234,3.139245
196,3.113457,2.435102,3.140679
197,3.113130,2.435102,3.139245
198,3.113137,2.432234,3.136377
199,3.112443,2.430799,3.137811
200,3.112185,2.432234,3.137811
201,3.111523,2.432234,3.136377
202,3.111166,2.432234,3.134943
203,3.110939,2.432234,3.136377
204,3.110693,2.430799,3.134943
205,3.110239,2.432234,3.134943
206,3.109631,2.432234,3.133508
207,3.109103,2.430799,3.133508
208,3.108738,2.429365,3.133508
209,3.108541,2.427931,3.134943
210,3.108029,2.430799,3.132074
211,3.107709,2.427931,3.133508
212,3.107503,2.423629,3.133508
213,3.107447,2.427931,3.130640
214,3.106796,2.426497,3.132074
215,3.106506,2.426497,3.130640
216,3.106244,2.427931,3.132074
217,3.105671,2.429365,3.129206
218,3.105114,2.425063,3.130640
219,3.105116,2.426497,3.129206
220,3.104415,2.426497,3.129206
221,3.104099,2.426497,3.132074
222,3.104305,2.427931,3.130640
223,3.103733,2.423629,3.127772
224,3.103410,2.425063,3.129206
225,3.103451,2.426497,3.129206
226,3.102881,2.423629,3.127772
227,3.102384,2.423629,3.127772
228,3.102253,2.423629,3.127772
229,3.101806,2.423629,3.126338
230,3.101457,2.426497,3.126338
231,3.101377,2.426497,3.124904
232,3.101068,2.423629,3.124904
233,3.100729,2.425063,3.124904
234,3.100500,2.422195,3.126338
235,3.099936,2.423629,3.124904
236,3.099482,2.425063,3.124904
237,3.099135,2.423629,3.123470
238,3.098722,2.423629,3.123470
239,3.098351,2.422195,3.123470
240,3.098199,2.422195,3.122036
241,3.097538,2.420761,3.123470
242,3.097396,2.422195,3.122036
243,3.097455,2.422195,3.123470
244,3.097163,2.422195,3.122036
245,3.096700,2.420761,3.120602
246,3.096384,2.417892,3.120602
247,3.096056,2.419327,3.122036
248,3.096031,2.420761,3.120602
249,3.095925,2.420761,3.120602
250,3.095483,2.420761,3.123470
251,3.095028,2.420761,3.120602
252,3.094663,2.417892,3.119168
253,3.094398,2.420761,3.122036
254,3.093977,2.416458,3.119168
255,3.093746,2.420761,3.119168
256,3.093134,2.417892,3.120602
257,3.093204,2.417892,3.117733
258,3.092779,2.417892,3.119168
259,3.092559,2.419327,3.117733
260,3.092385,2.416458,3.117733
261,3.092096,2.417892,3.116299
262,3.091655,2.416458,3.117733
263,3.091067,2.416458,3.116299
264,3.091060,2.417892,3.116299
265,3.090750,2.417892,3.114865
266,3.090341,2.419327,3.116299
267,3.090271,2.416458,3.114865
268,3.089741,2.413590,3.116299
269,3.089846,2.416458,3.114865
270,3.089715,2.413590,3.114865
271,3.088857,2.416458,3.113431
272,3.088605,2.415024,3.113431
273,3.088834,2.415024,3.113431
274,3.088470,2.413590,3.113431
275,3.088092,2.413590,3.113431
276,3.087836,2.416458,3.111997
277,3.087427,2.413590,3.111997
278,3.087064,2.415024,3.111997
279,3.087258,2.415024,3.111997
280,3.086797,2.412156,3.113431
281,3.086823,2.413590,3.110563
282,3.086494,2.413590,3.111997
283,3.086022,2.409288,3.113431
284,3.086015,2.410722,3.111997
285,3.085820,2.415024,3.110563
286,3.085324,2.412156,3.110563
287,3.085259,2.412156,3.110563
288,3.084966,2.413590,3.110563
289,3.084624,2.415024,3.109129
290,3.084325,2.410722,3.110563
291,3.084053,2.413590,3.111997
292,3.083552,2.409288,3.109129
293,3.083132,2.410722,3.109129
294,3.082790,2.407854,3.109129
295,3.082393,2.406420,3.107695
296,3.082108,2.409288,3.106261
297,3.081932,2.407854,3.106261
298,3.081471,2.410722,3.106261
299,3.081191,2.404986,3.107695
300,3.081366,2.407854,3.109129
301,3.080939,2.407854,3.107695
302,3.080747,2.410722,3.106261
303,3.080834,2.409288,3.106261
304,3.080253,2.404986,3.104826
305,3.080060,2.407854,3.106261
306,3.080087,2.407854,3.106261
307,3.079572,2.409288,3.104826
308,3.079403,2.407854,3.104826
