EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:07:30,,,
,,,
"V1: 1.000000, 1.600000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
172,3.073268,2.770681,3.094788
173,3.072929,2.767813,3.094788
174,3.072645,2.767813,3.096222
175,3.072347,2.769247,3.093354
176,3.071799,2.769247,3.094788
177,3.071392,2.767813,3.093354
178,3.070753,2.769247,3.093354
179,3.070388,2.767813,3.093354
180,3.070254,2.766379,3.09192
181,3.069544,2.766379,3.090485
182,3.068815,2.767813,3.090485
183,3.068654,2.763511,3.09192
184,3.067986,2.766379,3.090485
185,3.067841,2.764945,3.090485
186,3.067734,2.763511,3.089051
187,3.067106,2.766379,3.089051
188,3.066935,2.763511,3.089051
189,3.066536,2.762077,3.089051
190,3.066289,2.760643,3.089051
191,3.065607,2.762077,3.087617
192,3.064939,2.763511,3.086183
193,3.064977,2.760643,3.086183
194,3.064606,2.763511,3.087617
195,3.064016,2.762077,3.086183
196,3.063577,2.762077,3.087617
197,3.063351,2.760643,3.086183
198,3.062999,2.760643,3.084749
199,3.062464,2.760643,3.084749
200,3.062034,2.760643,3.083315
201,3.061645,2.760643,3.083315
202,3.06133,2.760643,3.084749
203,3.060878,2.759208,3.084749
204,3.060532,2.759208,3.083315
205,3.060426,2.75634,3.081881
206,3.06046,2.759208,3.081881
207,3.059897,2.757774,3.083315
208,3.059317,2.754906,3.083315
209,3.058969,2.759208,3.083315
210,3.058647,2.75634,3.080447
211,3.058304,2.757774,3.079013
212,3.057859,2.75634,3.079013
213,3.05754,2.757774,3.079013
214,3.057216,2.757774,3.081881
215,3.056963,2.757774,3.081881
216,3.056853,2.75634,3.079013
217,3.056409,2.754906,3.077579
218,3.056203,2.75634,3.079013
219,3.056203,2.752038,3.077579
220,3.056104,2.754906,3.079013
221,3.055307,2.754906,3.077579
222,3.054542,2.752038,3.07471
223,3.054123,2.754906,3.077579
224,3.053928,2.754906,3.076144
225,3.053761,2.754906,3.076144
226,3.053617,2.752038,3.076144
227,3.05351,2.753472,3.077579
228,3.053162,2.752038,3.073276
229,3.052785,2.752038,3.076144
230,3.052492,2.754906,3.073276
231,3.052305,2.750604,3.07471
232,3.052096,2.752038,3.076144
233,3.05178,2.752038,3.073276
234,3.05186,2.752038,3.073276
235,3.05129,2.752038,3.073276
236,3.05092,2.752038,3.07471
237,3.050832,2.752038,3.071842
238,3.050124,2.74917,3.073276
239,3.049714,2.750604,3.071842
240,3.049562,2.750604,3.071842
241,3.048973,2.750604,3.070408
242,3.048697,2.747736,3.070408
243,3.048293,2.74917,3.070408
244,3.048045,2.747736,3.068974
245,3.047851,2.746301,3.068974
246,3.047703,2.746301,3.070408
247,3.047668,2.747736,3.070408
248,3.047402,2.74917,3.068974
249,3.046708,2.747736,3.06754
250,3.046258,2.747736,3.070408
251,3.046132,2.746301,3.06754
252,3.04578,2.744867,3.06754
253,3.045391,2.746301,3.068974
254,3.045247,2.747736,3.06754
255,3.045151,2.744867,3.06754
256,3.044982,2.746301,3.066106
257,3.044793,2.744867,3.06754
258,3.044491,2.746301,3.064672
259,3.044296,2.746301,3.064672
260,3.043851,2.741999,3.064672
261,3.04348,2.744867,3.066106
