EL34143A exported datalog,
File type: CSV,
File version: 1,
,
Per division: 5.000000,
Offset: -3.111111,
Trigger position: 0,
Sample interval: 0.49999872,
Number of sample: 172800/172800,
Trigger sample: 0,
Number of pre-trigger sample: 0,
Date: 2025/03/03 03:23:09,
,
"V1: 0.500000, 1.340000",
"I1: 1.000000, 0.000000",
"P1: 5.000000, 0.000000",
,
Power Enabled:,None
,
Enable:,Volt avg 1
426,2.919578
427,2.919402
428,2.919224
429,2.919224
430,2.919353
431,2.918954
432,2.918591
433,2.918744
434,2.918509
435,2.918653
436,2.918576
437,2.918365
438,2.918453
439,2.918664
440,2.918315
441,2.917921
442,2.917855
443,2.917634
444,2.917688
445,2.917258
446,2.91732
447,2.91715
448,2.917026
449,2.91717
450,2.917109
451,2.916942
452,2.916773
453,2.916908
454,2.916744
455,2.916532
456,2.916474
457,2.916076
458,2.916065
459,2.915831
460,2.915791
461,2.915495
462,2.915458
463,2.915427
464,2.915433
465,2.915253
466,2.915184
467,2.915314
468,2.915462
469,2.915291
470,2.914792
471,2.914368
472,2.914303
473,2.914224
474,2.914095
475,2.91419
476,2.913907
477,2.913451
478,2.913313
479,2.913501
480,2.913442
481,2.913165
482,2.912946
483,2.91285
484,2.912934
485,2.912761
486,2.912349
487,2.912296
488,2.912148
489,2.912107
490,2.912183
491,2.912103
492,2.911684
493,2.911402
494,2.911064
495,2.911065
496,2.911218
497,2.911137
498,2.910929
499,2.910806
500,2.910633
501,2.9106
502,2.910095
503,2.91041
504,2.910154
505,2.910148
506,2.910086
507,2.910003
508,2.909637
509,2.90947
510,2.909639
511,2.909182
512,2.909324
513,2.908972
514,2.908862
515,2.908743
516,2.908966
517,2.90884
518,2.908531
519,2.908675
520,2.908442
521,2.908311
522,2.908528
523,2.908164
524,2.907989
525,2.907763
526,2.907707
527,2.908023
528,2.907898
529,2.907758
530,2.907542
531,2.907447
532,2.907291
533,2.906641
534,2.906645
535,2.907102
536,2.906976
537,2.90684
538,2.906499
539,2.906445
540,2.906419
541,2.906203
542,2.906017
543,2.905825
544,2.906062
545,2.906079
546,2.905758
547,2.90558
548,2.905515
549,2.905594
550,2.905503
551,2.905399
552,2.905123
553,2.904949
554,2.904633
555,2.904765
556,2.90456
557,2.904373
558,2.904364
559,2.903891
560,2.903788
561,2.903552
562,2.903748
563,2.903619
564,2.903592
565,2.903612
566,2.903131
567,2.903058
568,2.902999
569,2.903035
570,2.903036
