EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 51723/51846"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/29 01:28:06"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
426,2.869346
427,2.869425
428,2.869104
429,2.868928
430,2.868837
431,2.868495
432,2.868279
433,2.868091
434,2.867854
435,2.867802
436,2.867681
437,2.867672
438,2.867548
439,2.867067
440,2.866585
441,2.866427
442,2.866411
443,2.866123
444,2.866062
445,2.865998
446,2.865557
447,2.865576
448,2.865386
449,2.865182
450,2.864470
451,2.864282
452,2.864052
453,2.864079
454,2.863983
455,2.863727
456,2.863554
457,2.863283
458,2.862907
459,2.862952
460,2.862664
461,2.862488
462,2.862192
463,2.862019
464,2.861681
465,2.861725
466,2.861429
467,2.861079
468,2.860784
469,2.860837
470,2.860630
471,2.860337
472,2.860047
473,2.859850
474,2.859841
475,2.859870
476,2.859593
477,2.859265
478,2.859180
479,2.859122
480,2.858911
481,2.858709
482,2.858576
483,2.858597
484,2.858218
485,2.858163
486,2.857701
487,2.857497
488,2.857452
489,2.856997
490,2.856970
491,2.856701
492,2.856587
493,2.856488
494,2.856210
495,2.856095
496,2.855830
497,2.855705
498,2.855814
499,2.855740
500,2.855502
501,2.855443
502,2.855133
503,2.854906
504,2.854762
505,2.854739
506,2.854483
507,2.854319
508,2.853998
509,2.853823
510,2.853628
511,2.853720
512,2.853701
513,2.853438
514,2.853387
515,2.853415
516,2.852886
517,2.852616
518,2.852578
519,2.852409
520,2.852276
521,2.852154
522,2.852008
523,2.851691
524,2.851535
525,2.851262
526,2.851137
527,2.851007
528,2.850756
529,2.850592
530,2.850502
531,2.850260
532,2.850146
533,2.850048
534,2.849869
535,2.849620
536,2.849835
537,2.849512
538,2.849230
539,2.849093
540,2.849055
541,2.848897
542,2.848831
543,2.848560
544,2.848359
545,2.848192
546,2.848034
547,2.847890
548,2.847802
549,2.847313
550,2.847196
551,2.847161
552,2.846948
553,2.846714
554,2.846584
555,2.846299
556,2.846145
557,2.845991
558,2.845946
559,2.845796
560,2.845799
561,2.845705
562,2.845583
563,2.845396
564,2.844981
565,2.845209
566,2.845201
567,2.844824
568,2.844701
569,2.844657
570,2.844415
571,2.844179
572,2.844239
573,2.844056
574,2.843842
575,2.843732
576,2.843832
577,2.843389
578,2.843348
579,2.843251
580,2.842856
581,2.842820
582,2.842657
583,2.842788
584,2.842571
585,2.842689
586,2.842399
587,2.841999
588,2.841692
589,2.841437
590,2.841317
591,2.841367
592,2.841027
593,2.840986
594,2.840706
595,2.840549
596,2.840477
597,2.840528
598,2.840311
599,2.840185
600,2.840006
601,2.840080
602,2.839889
603,2.839727
604,2.839685
605,2.839585
606,2.839690
607,2.839682
608,2.839581
609,2.839337
610,2.839161
611,2.838932
612,2.838578
613,2.838708
614,2.838547
615,2.838555
616,2.838337
617,2.838204
618,2.837981
619,2.837651
620,2.837916
621,2.837758
622,2.837498
623,2.837453
624,2.837371
625,2.837378
626,2.837101
627,2.837015
628,2.836803
629,2.836640
630,2.836563
631,2.836381
632,2.836415
633,2.836269
634,2.836298
635,2.836127
636,2.835756
637,2.835780
638,2.835428
639,2.835286
640,2.835215
641,2.835088
642,2.835018
643,2.834774
644,2.834848
645,2.834715
646,2.834531
647,2.834383
648,2.834197
649,2.834009
650,2.833852
651,2.833799
652,2.833646
653,2.833393
654,2.833329
655,2.833336
