EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:47:44"

"V1: 0.500000, 1.421875"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
174,2.856375,2.080879,2.894014
175,2.856490,2.083747,2.892580
176,2.856459,2.082313,2.894014
177,2.856162,2.082313,2.892580
178,2.856442,2.080879,2.891145
179,2.856302,2.082313,2.894014
180,2.856403,2.079445,2.892580
181,2.856409,2.085181,2.892580
182,2.856141,2.083747,2.892580
183,2.856195,2.083747,2.891145
184,2.856124,2.083747,2.894014
185,2.856023,2.083747,2.892580
186,2.856228,2.082313,2.892580
187,2.856373,2.083747,2.892580
188,2.856467,2.085181,2.892580
189,2.856121,2.080879,2.894014
190,2.856351,2.085181,2.895448
191,2.856249,2.085181,2.892580
192,2.855949,2.083747,2.894014
193,2.856027,2.083747,2.891145
194,2.856086,2.082313,2.891145
195,2.855942,2.082313,2.892580
196,2.856039,2.083747,2.894014
197,2.856173,2.083747,2.892580
198,2.856310,2.083747,2.894014
199,2.856189,2.082313,2.894014
200,2.856224,2.082313,2.892580
201,2.856394,2.083747,2.892580
202,2.856233,2.082313,2.892580
203,2.856152,2.082313,2.891145
204,2.856280,2.082313,2.892580
205,2.856042,2.080879,2.891145
206,2.855843,2.080879,2.892580
207,2.855980,2.082313,2.892580
208,2.856001,2.079445,2.891145
209,2.855992,2.080879,2.892580
210,2.856129,2.082313,2.892580
211,2.855996,2.079445,2.892580
212,2.855925,2.083747,2.892580
213,2.855961,2.080879,2.891145
214,2.855865,2.080879,2.892580
215,2.856096,2.080879,2.894014
216,2.856445,2.083747,2.892580
217,2.856314,2.082313,2.894014
218,2.856012,2.080879,2.895448
219,2.855996,2.083747,2.891145
220,2.855748,2.082313,2.891145
221,2.855785,2.082313,2.892580
222,2.855778,2.082313,2.891145
223,2.855674,2.080879,2.891145
224,2.855922,2.082313,2.892580
225,2.855748,2.079445,2.892580
226,2.855677,2.082313,2.892580
227,2.855682,2.080879,2.891145
228,2.855828,2.085181,2.894014
229,2.855766,2.082313,2.892580
230,2.855894,2.083747,2.891145
231,2.856012,2.080879,2.891145
232,2.855759,2.083747,2.891145
233,2.855631,2.082313,2.891145
234,2.855881,2.083747,2.892580
235,2.855927,2.083747,2.894014
236,2.855869,2.079445,2.891145
237,2.856091,2.083747,2.895448
238,2.856405,2.080879,2.894014
239,2.856415,2.082313,2.894014
240,2.856141,2.082313,2.892580
241,2.855999,2.080879,2.892580
242,2.855852,2.082313,2.894014
243,2.855710,2.083747,2.891145
244,2.855797,2.078011,2.892580
245,2.855956,2.083747,2.894014
246,2.856067,2.080879,2.892580
247,2.856102,2.082313,2.892580
248,2.855838,2.082313,2.892580
249,2.855777,2.080879,2.892580
250,2.855962,2.080879,2.891145
251,2.856071,2.080879,2.891145
252,2.856036,2.080879,2.891145
253,2.855576,2.083747,2.892580
254,2.855713,2.080879,2.894014
255,2.855877,2.082313,2.891145
256,2.855929,2.082313,2.891145
257,2.856019,2.082313,2.891145
258,2.856086,2.082313,2.894014
259,2.855778,2.078011,2.892580
260,2.855492,2.082313,2.891145
261,2.855515,2.080879,2.892580
262,2.855376,2.082313,2.891145
263,2.855471,2.080879,2.892580
264,2.855574,2.082313,2.891145
265,2.855326,2.080879,2.892580
266,2.855628,2.080879,2.891145
267,2.855731,2.080879,2.891145
268,2.855713,2.082313,2.894014
269,2.855866,2.082313,2.891145
270,2.855496,2.078011,2.891145
271,2.855632,2.078011,2.892580
272,2.855718,2.080879,2.892580
273,2.855773,2.079445,2.892580
274,2.855877,2.082313,2.891145
275,2.855906,2.080879,2.895448
276,2.855782,2.082313,2.892580
277,2.855631,2.079445,2.892580
278,2.855618,2.082313,2.892580
279,2.855507,2.079445,2.891145
280,2.855469,2.080879,2.891145
281,2.855593,2.079445,2.891145
282,2.855517,2.080879,2.891145
283,2.855599,2.080879,2.891145
284,2.855411,2.082313,2.891145
285,2.855660,2.082313,2.892580
286,2.855616,2.082313,2.894014
287,2.855792,2.079445,2.892580
288,2.855812,2.082313,2.891145
289,2.856085,2.082313,2.892580
290,2.855967,2.082313,2.894014
291,2.855912,2.082313,2.892580
292,2.855970,2.079445,2.892580
293,2.855926,2.080879,2.891145
294,2.855637,2.080879,2.892580
295,2.855975,2.079445,2.892580
296,2.855932,2.079445,2.892580
297,2.855930,2.082313,2.892580
298,2.855618,2.082313,2.892580
299,2.855392,2.082313,2.891145
300,2.855519,2.080879,2.892580
301,2.855752,2.080879,2.891145
302,2.855658,2.080879,2.892580
303,2.855523,2.079445,2.891145
304,2.855511,2.083747,2.891145
305,2.855477,2.080879,2.889711
306,2.855697,2.080879,2.891145
307,2.855718,2.082313,2.892580
308,2.855482,2.082313,2.891145
309,2.855801,2.082313,2.891145
310,2.855900,2.082313,2.892580
311,2.855684,2.082313,2.894014
312,2.855505,2.082313,2.891145
313,2.855588,2.078011,2.891145
314,2.855579,2.082313,2.891145
315,2.855644,2.082313,2.891145
316,2.855556,2.080879,2.895448
317,2.855684,2.082313,2.892580
318,2.855477,2.079445,2.892580
319,2.855637,2.080879,2.892580
320,2.855844,2.082313,2.892580
321,2.855611,2.082313,2.891145
322,2.855602,2.080879,2.891145
323,2.855560,2.083747,2.892580
324,2.855571,2.083747,2.892580
325,2.855399,2.082313,2.894014
326,2.855530,2.079445,2.892580
327,2.855515,2.078011,2.891145
328,2.855570,2.082313,2.892580
329,2.855559,2.080879,2.891145
330,2.855683,2.083747,2.891145
331,2.855670,2.082313,2.891145
332,2.855962,2.080879,2.894014
333,2.856011,2.078011,2.892580
334,2.855796,2.082313,2.892580
335,2.855647,2.082313,2.892580
336,2.855745,2.080879,2.892580
337,2.855727,2.082313,2.891145
338,2.855517,2.082313,2.892580
339,2.855408,2.079445,2.891145
340,2.855518,2.082313,2.892580
341,2.855563,2.080879,2.891145
342,2.855431,2.079445,2.892580
343,2.855659,2.080879,2.891145
344,2.855775,2.082313,2.891145
345,2.855611,2.083747,2.891145
346,2.855480,2.082313,2.892580
347,2.855301,2.082313,2.892580
348,2.855511,2.082313,2.891145
349,2.855636,2.079445,2.891145
350,2.855608,2.082313,2.892580
351,2.855678,2.080879,2.894014
352,2.855857,2.079445,2.892580
353,2.855525,2.079445,2.892580
354,2.855486,2.080879,2.892580
355,2.855584,2.082313,2.891145
356,2.855489,2.082313,2.891145
357,2.855624,2.083747,2.892580
358,2.855483,2.082313,2.891145
359,2.855677,2.082313,2.891145
360,2.855783,2.082313,2.892580
361,2.855801,2.079445,2.891145
362,2.855583,2.080879,2.891145
363,2.855513,2.082313,2.891145
364,2.855533,2.082313,2.892580
365,2.855407,2.082313,2.892580
366,2.855187,2.082313,2.892580
367,2.854972,2.080879,2.889711
368,2.855207,2.082313,2.891145
369,2.855361,2.082313,2.891145
370,2.855220,2.078011,2.891145
371,2.855177,2.079445,2.891145
372,2.855514,2.080879,2.891145
373,2.855608,2.082313,2.892580
374,2.855546,2.080879,2.892580
375,2.855374,2.080879,2.891145
376,2.855405,2.083747,2.892580
377,2.855316,2.080879,2.891145
378,2.855297,2.079445,2.892580
379,2.855427,2.080879,2.889711
380,2.855803,2.080879,2.891145
381,2.855945,2.082313,2.892580
382,2.855880,2.082313,2.892580
383,2.855822,2.082313,2.894014
384,2.855840,2.080879,2.892580
385,2.856104,2.080879,2.892580
386,2.856131,2.080879,2.892580
387,2.856115,2.080879,2.892580
388,2.856053,2.080879,2.891145
389,2.855930,2.080879,2.892580
390,2.855831,2.079445,2.892580
391,2.855890,2.080879,2.892580
392,2.855750,2.080879,2.891145
393,2.855583,2.082313,2.892580
394,2.855792,2.082313,2.892580
395,2.855610,2.082313,2.891145
396,2.855526,2.080879,2.892580
397,2.855566,2.080879,2.894014
398,2.855740,2.082313,2.892580
399,2.855844,2.082313,2.892580
400,2.855810,2.082313,2.892580
