EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/02/28 13:50:20,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
172,3.166618,2.967153,3.193741
173,3.166304,2.964285,3.192307
174,3.166056,2.968587,3.190872
175,3.165993,2.961416,3.192307
176,3.166277,2.965719,3.195175
177,3.16629,2.967153,3.192307
178,3.166028,2.965719,3.193741
179,3.166009,2.965719,3.193741
180,3.165934,2.965719,3.190872
181,3.165889,2.964285,3.190872
182,3.166203,2.967153,3.192307
183,3.166306,2.965719,3.192307
184,3.166128,2.964285,3.190872
185,3.166006,2.965719,3.193741
186,3.166195,2.967153,3.192307
187,3.166048,2.965719,3.190872
188,3.166039,2.964285,3.192307
189,3.166054,2.964285,3.192307
190,3.165924,2.965719,3.190872
191,3.165779,2.965719,3.192307
192,3.165705,2.964285,3.193741
193,3.165872,2.967153,3.190872
194,3.165881,2.961416,3.190872
195,3.16581,2.965719,3.190872
196,3.165648,2.965719,3.193741
197,3.165816,2.967153,3.192307
198,3.165716,2.967153,3.192307
199,3.165813,2.964285,3.190872
200,3.166022,2.967153,3.192307
201,3.165809,2.965719,3.190872
202,3.165681,2.964285,3.192307
203,3.1661,2.965719,3.192307
204,3.166106,2.968587,3.190872
205,3.166074,2.967153,3.190872
206,3.165939,2.962851,3.192307
207,3.165929,2.964285,3.193741
208,3.165977,2.965719,3.193741
209,3.165841,2.965719,3.193741
210,3.165947,2.964285,3.190872
211,3.165766,2.967153,3.190872
212,3.165822,2.965719,3.192307
213,3.166143,2.964285,3.192307
214,3.166103,2.964285,3.192307
215,3.166163,2.964285,3.190872
216,3.165832,2.964285,3.190872
217,3.165371,2.965719,3.192307
218,3.165394,2.965719,3.189438
219,3.165948,2.964285,3.190872
220,3.165874,2.965719,3.192307
221,3.166065,2.964285,3.192307
222,3.166086,2.965719,3.192307
223,3.165911,2.967153,3.192307
224,3.165864,2.964285,3.190872
225,3.166042,2.964285,3.190872
226,3.166557,2.962851,3.190872
227,3.166351,2.967153,3.193741
228,3.166312,2.961416,3.195175
229,3.166402,2.967153,3.193741
230,3.16605,2.965719,3.190872
231,3.165831,2.965719,3.193741
232,3.165874,2.965719,3.192307
233,3.165773,2.962851,3.190872
234,3.165734,2.964285,3.190872
235,3.165883,2.964285,3.193741
236,3.165729,2.962851,3.193741
237,3.165877,2.967153,3.190872
238,3.166023,2.967153,3.190872
239,3.166125,2.964285,3.192307
240,3.165918,2.967153,3.192307
241,3.166156,2.968587,3.192307
242,3.166294,2.967153,3.192307
243,3.166192,2.965719,3.195175
244,3.166269,2.968587,3.190872
245,3.165857,2.967153,3.192307
246,3.166004,2.967153,3.193741
247,3.166078,2.964285,3.190872
248,3.165774,2.964285,3.190872
249,3.165815,2.967153,3.190872
250,3.165586,2.964285,3.190872
251,3.165534,2.964285,3.190872
252,3.165442,2.962851,3.192307
253,3.165004,2.962851,3.190872
254,3.16527,2.964285,3.190872
255,3.165,2.965719,3.190872
256,3.165225,2.964285,3.190872
257,3.165161,2.962851,3.190872
258,3.165094,2.965719,3.192307
259,3.165147,2.965719,3.190872
260,3.164872,2.962851,3.193741
261,3.165037,2.962851,3.189438
262,3.164999,2.964285,3.190872
263,3.164949,2.964285,3.190872
264,3.165,2.964285,3.190872
265,3.165251,2.962851,3.189438
266,3.165089,2.967153,3.195175
267,3.164834,2.964285,3.189438
268,3.164612,2.964285,3.189438
269,3.164569,2.961416,3.192307
270,3.16456,2.967153,3.190872
271,3.16458,2.965719,3.189438
272,3.164675,2.959982,3.190872
273,3.164618,2.965719,3.189438
274,3.164626,2.965719,3.190872
275,3.164471,2.965719,3.192307
276,3.164344,2.961416,3.189438
277,3.164284,2.962851,3.189438
278,3.164505,2.965719,3.190872
279,3.164492,2.964285,3.189438
280,3.164349,2.965719,3.190872
281,3.163954,2.961416,3.189438
282,3.164133,2.962851,3.192307
283,3.164137,2.962851,3.189438
284,3.164023,2.962851,3.190872
285,3.164324,2.964285,3.190872
286,3.164117,2.961416,3.189438
287,3.164026,2.964285,3.190872
288,3.163977,2.961416,3.189438
289,3.164146,2.964285,3.190872
290,3.163966,2.964285,3.188004
291,3.164077,2.962851,3.189438
292,3.164329,2.961416,3.190872
293,3.164111,2.962851,3.190872
294,3.16384,2.959982,3.190872
295,3.16397,2.964285,3.189438
296,3.16399,2.961416,3.190872
297,3.164045,2.964285,3.190872
298,3.163938,2.964285,3.190872
299,3.163959,2.965719,3.189438
300,3.163668,2.964285,3.190872
301,3.164036,2.961416,3.189438
302,3.163992,2.962851,3.190872
303,3.163567,2.961416,3.189438
304,3.163356,2.962851,3.192307
305,3.163699,2.962851,3.189438
306,3.163895,2.961416,3.190872
307,3.163936,2.962851,3.192307
308,3.163796,2.964285,3.189438
309,3.163971,2.965719,3.189438
310,3.164074,2.964285,3.189438
311,3.164039,2.962851,3.190872
312,3.163782,2.962851,3.189438
313,3.164014,2.964285,3.190872
314,3.163973,2.962851,3.190872
315,3.163806,2.962851,3.190872
316,3.163941,2.962851,3.189438
317,3.163758,2.959982,3.190872
318,3.163798,2.965719,3.189438
319,3.163715,2.965719,3.190872
320,3.163774,2.961416,3.190872
321,3.163737,2.962851,3.189438
322,3.16346,2.962851,3.188004
323,3.163556,2.962851,3.189438
