EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 2.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 34010/51846"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/17 01:28:39"

"V1: 1.000000, 0.587500"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
0,3.151920
1,3.128871
2,3.113648
3,3.094030
4,3.084480
5,3.074836
6,3.066692
7,3.059602
8,3.052649
9,3.046129
10,3.040614
11,3.034454
12,3.029112
13,3.024505
14,3.019158
15,3.014514
16,3.010348
17,3.005567
18,3.001686
19,2.998115
20,2.993882
21,2.990545
22,2.987543
23,2.983710
24,2.980298
25,2.977344
26,2.973662
27,2.970940
28,2.968613
29,2.965270
30,2.962696
31,2.960453
32,2.957369
33,2.955100
34,2.952751
35,2.950235
36,2.947924
37,2.946116
38,2.943224
39,2.941471
40,2.939927
41,2.937426
42,2.935630
43,2.934204
44,2.931632
45,2.929775
46,2.928438
47,2.926074
48,2.924538
49,2.923165
50,2.921229
51,2.919402
52,2.917889
53,2.915806
54,2.914267
55,2.912808
56,2.910912
57,2.909155
58,2.907996
59,2.905889
60,2.904113
61,2.903440
62,2.901686
63,2.899926
64,2.898974
65,2.897198
66,2.895841
67,2.894828
68,2.893165
69,2.892037
70,2.891144
71,2.889286
72,2.888331
73,2.887394
74,2.885700
75,2.884290
76,2.883595
77,2.881711
78,2.880523
79,2.879802
80,2.878395
81,2.877356
82,2.877059
83,2.875527
84,2.874000
85,2.873160
86,2.871891
87,2.870665
88,2.870091
89,2.868508
90,2.867488
91,2.866720
92,2.865495
93,2.864309
94,2.863726
95,2.862193
96,2.860977
97,2.860572
98,2.858872
99,2.858117
100,2.857559
101,2.856338
102,2.855181
103,2.854718
104,2.853232
105,2.852232
106,2.851475
107,2.849850
108,2.848794
109,2.848418
110,2.847487
111,2.846463
112,2.846104
113,2.845069
114,2.844211
115,2.843806
116,2.842606
117,2.841871
118,2.841135
119,2.839979
120,2.839281
121,2.838662
122,2.837648
123,2.836931
124,2.836526
125,2.835238
126,2.834542
127,2.834150
128,2.832934
129,2.832256
130,2.832162
131,2.831212
132,2.830542
133,2.830124
134,2.829062
135,2.828050
136,2.827813
137,2.826903
138,2.826364
139,2.825842
140,2.825035
141,2.824458
142,2.824057
143,2.823160
144,2.822146
145,2.821826
146,2.820737
147,2.820038
148,2.819493
149,2.818517
150,2.818519
151,2.818551
152,2.817518
153,2.816586
154,2.816094
155,2.815229
156,2.814322
157,2.814036
158,2.812961
159,2.812158
160,2.812092
161,2.811286
162,2.810841
163,2.810628
164,2.809658
165,2.809323
166,2.809036
167,2.808337
168,2.807651
169,2.807552
170,2.806659
171,2.805548
172,2.805254
173,2.804568
174,2.804208
175,2.803426
176,2.802684
177,2.802162
178,2.801944
179,2.800970
180,2.800329
181,2.800197
182,2.799464
183,2.798947
184,2.798949
185,2.798230
186,2.797396
187,2.797309
188,2.796118
189,2.795694
190,2.795671
191,2.794586
192,2.794043
193,2.793850
194,2.792898
195,2.792435
196,2.792203
197,2.791360
198,2.791051
199,2.791206
200,2.790038
201,2.789541
202,2.789446
203,2.788532
204,2.787987
205,2.787591
206,2.786911
207,2.786728
208,2.786729
209,2.785553
210,2.785150
211,2.785109
212,2.784189
213,2.783926
214,2.783570
215,2.782900
216,2.782238
217,2.782336
218,2.781676
219,2.781332
220,2.780967
221,2.780235
222,2.780143
223,2.780310
224,2.778970
225,2.778462
226,2.778202
227,2.777564
228,2.777052
229,2.776867
230,2.776319
231,2.775962
232,2.775768
233,2.775100
234,2.774651
235,2.774767
236,2.773940
237,2.773816
238,2.773757
239,2.773040
240,2.772965
241,2.773009
242,2.771952
243,2.771568
244,2.771622
245,2.771137
246,2.770843
247,2.770470
248,2.769502
249,2.769301
250,2.769335
251,2.768463
252,2.768185
253,2.768465
254,2.767984
255,2.767611
256,2.767078
257,2.766602
258,2.766200
259,2.766124
260,2.765936
261,2.765720
262,2.765995
263,2.765299
264,2.764672
265,2.764295
266,2.763245
267,2.762817
268,2.763203
269,2.762473
270,2.762331
271,2.762374
272,2.762177
273,2.761507
274,2.761779
275,2.760950
276,2.760946
277,2.761569
278,2.761008
279,2.760571
280,2.760354
281,2.759969
282,2.759737
283,2.759963
284,2.759674
285,2.759101
286,2.758888
287,2.758065
288,2.757930
289,2.757862
290,2.757375
291,2.757395
292,2.757430
293,2.757236
294,2.756795
295,2.756696
296,2.755680
297,2.755850
298,2.755689
299,2.755057
300,2.754861
301,2.755193
302,2.754572
303,2.754603
304,2.754457
305,2.753860
306,2.753305
307,2.754143
308,2.753631
309,2.753014
310,2.752830
311,2.752523
312,2.752028
313,2.752058
314,2.751696
315,2.751684
316,2.751668
317,2.751178
318,2.750637
319,2.751017
320,2.750295
321,2.750157
322,2.750353
323,2.749502
324,2.749758
325,2.749746
326,2.749233
327,2.748850
328,2.748962
329,2.748614
330,2.748499
331,2.748755
332,2.748490
333,2.748116
334,2.748087
335,2.747626
336,2.747546
337,2.747388
338,2.747095
339,2.746647
340,2.746945
341,2.746512
342,2.746324
343,2.746549
344,2.746171
345,2.745912
346,2.746211
347,2.745693
348,2.745507
349,2.745610
350,2.744934
351,2.744899
352,2.745088
353,2.744725
354,2.744509
355,2.744646
356,2.743990
357,2.743691
358,2.744031
359,2.743804
360,2.743597
361,2.743545
362,2.743091
363,2.743242
364,2.743294
365,2.743078
366,2.743297
367,2.743155
368,2.742631
369,2.742579
370,2.743018
371,2.742555
372,2.742238
373,2.742425
374,2.741841
375,2.741390
376,2.741592
377,2.741244
378,2.741272
379,2.741653
380,2.740981
381,2.741063
382,2.741158
383,2.740890
384,2.740927
385,2.741050
386,2.740511
387,2.740757
388,2.740796
389,2.740278
390,2.740432
391,2.740477
392,2.740094
393,2.740059
394,2.739937
