EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:51:14"

"V1: 0.500000, 1.440000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
174,2.893478,2.442272,2.916959
175,2.893241,2.442272,2.915525
176,2.893488,2.442272,2.915525
177,2.893541,2.437970,2.915525
178,2.893467,2.442272,2.915525
179,2.893555,2.440838,2.915525
180,2.893906,2.440838,2.916959
181,2.893827,2.442272,2.916959
182,2.893746,2.439404,2.916959
183,2.893727,2.440838,2.916959
184,2.893477,2.440838,2.915525
185,2.893414,2.442272,2.915525
186,2.893670,2.440838,2.916959
187,2.893662,2.440838,2.916959
188,2.893425,2.440838,2.916959
189,2.893700,2.440838,2.918393
190,2.893628,2.442272,2.916959
191,2.893669,2.437970,2.916959
192,2.893628,2.440838,2.915525
193,2.893929,2.442272,2.916959
194,2.893851,2.442272,2.916959
195,2.893916,2.439404,2.915525
196,2.893721,2.439404,2.916959
197,2.893747,2.442272,2.915525
198,2.893548,2.439404,2.916959
199,2.893481,2.440838,2.914091
200,2.893442,2.440838,2.915525
201,2.893507,2.440838,2.916959
202,2.893269,2.436536,2.916959
203,2.893421,2.442272,2.915525
204,2.893449,2.437970,2.915525
205,2.893354,2.437970,2.915525
206,2.893062,2.439404,2.915525
207,2.893126,2.440838,2.916959
208,2.893265,2.439404,2.914091
209,2.893066,2.437970,2.919827
210,2.893174,2.440838,2.915525
211,2.893125,2.437970,2.916959
212,2.893151,2.439404,2.915525
213,2.893328,2.439404,2.914091
214,2.893156,2.439404,2.914091
215,2.893271,2.439404,2.915525
216,2.893315,2.440838,2.915525
217,2.893173,2.440838,2.916959
218,2.893261,2.437970,2.915525
219,2.893488,2.439404,2.915525
220,2.893389,2.437970,2.916959
221,2.893402,2.440838,2.915525
222,2.893525,2.437970,2.916959
223,2.893452,2.440838,2.918393
224,2.893422,2.440838,2.915525
225,2.893375,2.439404,2.915525
226,2.893101,2.437970,2.914091
227,2.893370,2.440838,2.915525
228,2.893318,2.440838,2.915525
229,2.893139,2.439404,2.915525
230,2.892813,2.437970,2.916959
231,2.893095,2.440838,2.915525
232,2.893121,2.439404,2.915525
233,2.893268,2.440838,2.916959
234,2.893362,2.440838,2.916959
235,2.892993,2.439404,2.915525
236,2.893087,2.442272,2.915525
237,2.893096,2.440838,2.915525
238,2.893070,2.440838,2.914091
239,2.893047,2.439404,2.916959
240,2.893092,2.440838,2.915525
241,2.893333,2.440838,2.915525
242,2.893367,2.436536,2.915525
243,2.893060,2.436536,2.915525
244,2.893239,2.440838,2.915525
245,2.893457,2.437970,2.915525
246,2.893594,2.440838,2.915525
247,2.893303,2.439404,2.916959
248,2.893483,2.439404,2.915525
249,2.893458,2.439404,2.916959
250,2.893458,2.439404,2.916959
251,2.893420,2.440838,2.915525
252,2.893330,2.440838,2.916959
253,2.893251,2.437970,2.916959
254,2.893362,2.439404,2.916959
255,2.893446,2.437970,2.915525
256,2.893355,2.437970,2.916959
257,2.893591,2.439404,2.918393
258,2.893335,2.437970,2.916959
259,2.893200,2.437970,2.916959
260,2.893387,2.439404,2.916959
261,2.893169,2.436536,2.915525
262,2.893343,2.439404,2.915525
263,2.893240,2.436536,2.915525
264,2.893545,2.439404,2.916959
265,2.893632,2.437970,2.916959
266,2.893614,2.440838,2.916959
267,2.893743,2.440838,2.915525
268,2.893699,2.440838,2.916959
269,2.893416,2.439404,2.915525
270,2.893619,2.439404,2.916959
271,2.893371,2.437970,2.916959
272,2.893304,2.440838,2.915525
273,2.893470,2.437970,2.915525
274,2.893620,2.435102,2.916959
275,2.893438,2.439404,2.916959
276,2.893314,2.442272,2.915525
277,2.893450,2.437970,2.916959
278,2.893409,2.437970,2.915525
279,2.893280,2.439404,2.918393
280,2.893035,2.436536,2.916959
281,2.893342,2.435102,2.918393
282,2.893595,2.437970,2.915525
283,2.893229,2.439404,2.918393
284,2.893463,2.442272,2.916959
285,2.893467,2.439404,2.915525
286,2.893502,2.439404,2.916959
287,2.893599,2.440838,2.919827
288,2.893563,2.440838,2.915525
289,2.893531,2.437970,2.915525
290,2.893328,2.440838,2.915525
291,2.893466,2.440838,2.916959
292,2.893178,2.439404,2.915525
293,2.893035,2.437970,2.915525
294,2.893415,2.440838,2.916959
295,2.893420,2.439404,2.916959
296,2.893578,2.440838,2.915525
297,2.893410,2.436536,2.916959
298,2.893273,2.440838,2.916959
299,2.893260,2.439404,2.915525
300,2.893227,2.440838,2.915525
301,2.893323,2.439404,2.915525
302,2.893269,2.439404,2.916959
303,2.893394,2.439404,2.915525
304,2.893503,2.439404,2.916959
305,2.893367,2.439404,2.915525
306,2.893426,2.437970,2.915525
307,2.893497,2.437970,2.916959
308,2.893579,2.437970,2.916959
309,2.893550,2.439404,2.916959
310,2.893354,2.440838,2.919827
311,2.893698,2.440838,2.915525
312,2.893545,2.437970,2.915525
313,2.893224,2.439404,2.916959
314,2.893258,2.437970,2.916959
315,2.893262,2.439404,2.915525
316,2.893312,2.437970,2.916959
317,2.893326,2.440838,2.915525
318,2.893407,2.440838,2.916959
319,2.893371,2.439404,2.915525
320,2.893791,2.439404,2.916959
321,2.893493,2.440838,2.916959
322,2.893234,2.437970,2.918393
323,2.893199,2.439404,2.915525
324,2.893243,2.440838,2.915525
325,2.893088,2.437970,2.916959
326,2.892903,2.439404,2.914091
327,2.893022,2.437970,2.915525
328,2.893029,2.440838,2.915525
329,2.893052,2.436536,2.915525
330,2.893207,2.440838,2.915525
331,2.893188,2.437970,2.915525
332,2.893223,2.437970,2.916959
333,2.893610,2.439404,2.915525
334,2.893460,2.439404,2.915525
335,2.893351,2.440838,2.916959
336,2.893526,2.437970,2.916959
337,2.893366,2.437970,2.915525
338,2.893644,2.440838,2.915525
339,2.893748,2.439404,2.915525
340,2.893221,2.436536,2.915525
341,2.893188,2.437970,2.916959
342,2.893218,2.439404,2.915525
343,2.893439,2.437970,2.915525
344,2.893491,2.440838,2.916959
345,2.893479,2.439404,2.915525
346,2.893341,2.440838,2.915525
347,2.893564,2.439404,2.915525
348,2.893808,2.439404,2.916959
349,2.893666,2.439404,2.916959
350,2.893437,2.439404,2.916959
351,2.893432,2.439404,2.915525
352,2.893408,2.437970,2.915525
353,2.893176,2.439404,2.915525
354,2.893406,2.437970,2.916959
355,2.893853,2.440838,2.915525
356,2.893865,2.442272,2.916959
357,2.893830,2.442272,2.916959
358,2.893635,2.436536,2.915525
359,2.893608,2.439404,2.915525
360,2.893671,2.439404,2.916959
361,2.893291,2.439404,2.916959
362,2.893267,2.439404,2.915525
363,2.893363,2.442272,2.915525
364,2.893583,2.439404,2.915525
365,2.893528,2.439404,2.915525
366,2.893373,2.439404,2.916959
367,2.893436,2.442272,2.914091
368,2.893400,2.439404,2.914091
369,2.893355,2.436536,2.916959
370,2.893316,2.439404,2.915525
371,2.893368,2.436536,2.915525
372,2.893497,2.440838,2.915525
373,2.893379,2.437970,2.916959
374,2.893274,2.439404,2.915525
375,2.893218,2.437970,2.916959
376,2.893445,2.439404,2.914091
377,2.893357,2.440838,2.915525
378,2.893711,2.439404,2.916959
379,2.893533,2.439404,2.915525
380,2.893420,2.437970,2.915525
381,2.893240,2.439404,2.915525
382,2.893068,2.437970,2.915525
383,2.893204,2.439404,2.915525
384,2.893379,2.437970,2.915525
385,2.893187,2.439404,2.914091
386,2.893383,2.439404,2.916959
387,2.893335,2.437970,2.916959
388,2.893204,2.439404,2.918393
389,2.893402,2.439404,2.916959
390,2.893815,2.439404,2.915525
391,2.893285,2.435102,2.915525
392,2.893154,2.436536,2.916959
393,2.893485,2.440838,2.915525
394,2.893481,2.436536,2.916959
395,2.893543,2.439404,2.915525
396,2.893571,2.437970,2.915525
397,2.893629,2.439404,2.915525
398,2.893672,2.437970,2.921262
399,2.893776,2.437970,2.915525
400,2.893618,2.435102,2.916959
401,2.893763,2.439404,2.915525
402,2.893858,2.439404,2.916959
403,2.893538,2.435102,2.915525
404,2.893575,2.439404,2.916959
405,2.893771,2.439404,2.915525
406,2.893721,2.437970,2.915525
407,2.893645,2.437970,2.918393
408,2.893927,2.439404,2.915525
409,2.893775,2.439404,2.916959
410,2.893548,2.435102,2.918393
411,2.893638,2.439404,2.916959
412,2.893573,2.437970,2.918393
413,2.893366,2.437970,2.915525
414,2.893274,2.437970,2.915525
415,2.893454,2.436536,2.916959
416,2.893301,2.439404,2.915525
417,2.893512,2.439404,2.915525
418,2.893292,2.439404,2.915525
419,2.893435,2.436536,2.916959
420,2.893368,2.439404,2.916959
421,2.893407,2.437970,2.914091
422,2.893426,2.437970,2.916959
423,2.893670,2.439404,2.918393
424,2.893672,2.439404,2.915525
425,2.893958,2.439404,2.915525
426,2.894095,2.439404,2.916959
427,2.893925,2.439404,2.916959
428,2.893937,2.437970,2.916959
429,2.893718,2.436536,2.916959
430,2.893816,2.440838,2.915525
431,2.893808,2.435102,2.916959
432,2.893926,2.437970,2.918393
433,2.894171,2.439404,2.915525
434,2.894140,2.440838,2.915525
435,2.893939,2.439404,2.916959
436,2.894091,2.439404,2.916959
437,2.894314,2.439404,2.915525
438,2.894164,2.439404,2.916959
439,2.893926,2.439404,2.916959
440,2.894060,2.439404,2.915525
441,2.893983,2.439404,2.915525
442,2.893846,2.436536,2.916959
443,2.893931,2.437970,2.916959
444,2.893681,2.437970,2.915525
445,2.893649,2.437970,2.915525
446,2.893885,2.437970,2.915525
447,2.893763,2.437970,2.915525
448,2.893552,2.439404,2.918393
449,2.893518,2.436536,2.916959
450,2.893600,2.437970,2.915525
451,2.893486,2.437970,2.916959
452,2.893180,2.436536,2.914091
453,2.893562,2.437970,2.915525
454,2.893435,2.435102,2.916959
455,2.893630,2.437970,2.916959
456,2.893278,2.437970,2.915525
457,2.893255,2.437970,2.915525
458,2.893389,2.436536,2.916959
459,2.893332,2.436536,2.916959
460,2.893144,2.437970,2.915525
461,2.893355,2.433668,2.916959
462,2.893433,2.435102,2.915525
463,2.893327,2.439404,2.915525
464,2.893713,2.436536,2.915525
465,2.893443,2.436536,2.915525
466,2.893373,2.435102,2.915525
467,2.893416,2.436536,2.916959
468,2.893242,2.436536,2.915525
469,2.893353,2.436536,2.915525
470,2.893824,2.437970,2.915525
471,2.893684,2.437970,2.918393
472,2.893570,2.435102,2.915525
473,2.893713,2.435102,2.915525
474,2.893519,2.433668,2.915525
475,2.893378,2.435102,2.916959
476,2.893582,2.436536,2.916959
477,2.893686,2.435102,2.915525
478,2.893765,2.437970,2.918393
479,2.893817,2.436536,2.916959
480,2.893481,2.436536,2.915525
481,2.893716,2.437970,2.916959
482,2.893825,2.437970,2.915525
483,2.893566,2.436536,2.916959
484,2.893590,2.436536,2.915525
485,2.893937,2.436536,2.916959
486,2.893672,2.435102,2.915525
487,2.893389,2.433668,2.915525
488,2.893486,2.436536,2.915525
489,2.893388,2.436536,2.915525
490,2.893425,2.436536,2.918393
491,2.893332,2.433668,2.916959
492,2.893141,2.433668,2.915525
493,2.893321,2.436536,2.916959
494,2.893579,2.436536,2.918393
495,2.893403,2.437970,2.915525
496,2.893418,2.436536,2.915525
497,2.893548,2.436536,2.916959
498,2.893528,2.433668,2.916959
499,2.893285,2.436536,2.915525
500,2.893353,2.435102,2.916959
501,2.893350,2.435102,2.915525
502,2.893255,2.437970,2.915525
503,2.893520,2.435102,2.915525
504,2.893523,2.436536,2.915525
505,2.893081,2.436536,2.916959
506,2.893302,2.436536,2.916959
507,2.893192,2.435102,2.919827
508,2.892843,2.435102,2.914091
509,2.893059,2.433668,2.915525
510,2.892914,2.433668,2.915525
511,2.892996,2.436536,2.916959
512,2.893037,2.436536,2.916959
513,2.892904,2.436536,2.915525
514,2.893013,2.435102,2.915525
515,2.893243,2.436536,2.915525
516,2.893168,2.436536,2.915525
517,2.892940,2.432234,2.915525
518,2.892889,2.435102,2.915525
519,2.892798,2.435102,2.915525
520,2.892816,2.435102,2.916959
521,2.892714,2.432234,2.915525
522,2.892666,2.435102,2.915525
523,2.892801,2.437970,2.915525
524,2.893087,2.436536,2.915525
525,2.893093,2.435102,2.914091
526,2.893009,2.436536,2.915525
527,2.893066,2.435102,2.918393
528,2.893055,2.435102,2.915525
529,2.893157,2.436536,2.915525
530,2.892790,2.435102,2.915525
531,2.892967,2.436536,2.915525
532,2.893271,2.436536,2.915525
533,2.892936,2.433668,2.915525
534,2.892938,2.435102,2.915525
535,2.892947,2.435102,2.915525
536,2.893450,2.436536,2.915525
537,2.893709,2.435102,2.916959
538,2.893053,2.435102,2.915525
539,2.892959,2.436536,2.915525
540,2.892631,2.436536,2.915525
541,2.892446,2.433668,2.915525
542,2.892691,2.435102,2.915525
543,2.892851,2.435102,2.915525
544,2.892750,2.432234,2.915525
545,2.893119,2.433668,2.914091
546,2.892771,2.432234,2.915525
547,2.892775,2.436536,2.915525
548,2.893053,2.436536,2.915525
549,2.893038,2.435102,2.915525
550,2.893118,2.435102,2.915525
551,2.893286,2.436536,2.916959
552,2.892947,2.435102,2.915525
553,2.893229,2.435102,2.915525
554,2.893399,2.436536,2.915525
555,2.893222,2.436536,2.916959
556,2.893301,2.436536,2.916959
557,2.893687,2.437970,2.916959
558,2.893272,2.435102,2.915525
559,2.893247,2.436536,2.916959
560,2.893268,2.433668,2.915525
561,2.893108,2.435102,2.914091
562,2.893216,2.435102,2.915525
563,2.893417,2.436536,2.916959
564,2.893268,2.435102,2.915525
565,2.893198,2.433668,2.915525
566,2.893415,2.435102,2.916959
567,2.893365,2.432234,2.915525
568,2.893275,2.435102,2.915525
569,2.893389,2.433668,2.918393
570,2.893379,2.435102,2.916959
571,2.893171,2.436536,2.915525
572,2.893374,2.433668,2.916959
573,2.893364,2.436536,2.915525
574,2.893111,2.429365,2.914091
575,2.893330,2.435102,2.916959
576,2.893369,2.433668,2.915525
577,2.893282,2.433668,2.915525
578,2.893352,2.433668,2.915525
579,2.893218,2.433668,2.916959
580,2.893108,2.433668,2.915525
581,2.893111,2.435102,2.915525
582,2.892996,2.435102,2.915525
583,2.892865,2.436536,2.915525
584,2.893304,2.433668,2.915525
585,2.892874,2.435102,2.915525
586,2.892867,2.433668,2.916959
587,2.893078,2.435102,2.916959
588,2.892911,2.435102,2.916959
589,2.893103,2.433668,2.915525
590,2.893143,2.436536,2.916959
591,2.893144,2.433668,2.915525
592,2.893306,2.435102,2.916959
593,2.893301,2.435102,2.915525
594,2.893163,2.433668,2.916959
595,2.893242,2.435102,2.915525
596,2.893149,2.433668,2.915525
597,2.893114,2.435102,2.915525
598,2.893211,2.435102,2.915525
599,2.893080,2.435102,2.916959
600,2.893060,2.433668,2.915525
601,2.893111,2.435102,2.915525
602,2.893246,2.432234,2.915525
603,2.892841,2.435102,2.914091
604,2.892866,2.433668,2.915525
605,2.893087,2.435102,2.915525
606,2.893316,2.432234,2.916959
607,2.893015,2.436536,2.915525
608,2.892967,2.436536,2.915525
609,2.892728,2.435102,2.914091
610,2.892902,2.435102,2.915525
611,2.893037,2.435102,2.915525
612,2.892843,2.433668,2.915525
613,2.892896,2.433668,2.918393
614,2.893166,2.432234,2.915525
615,2.892956,2.435102,2.915525
616,2.892864,2.433668,2.915525
617,2.892876,2.432234,2.915525
618,2.892770,2.432234,2.916959
619,2.892875,2.432234,2.918393
620,2.892750,2.435102,2.914091
621,2.892738,2.433668,2.916959
622,2.892730,2.435102,2.915525
623,2.893047,2.433668,2.915525
624,2.892981,2.436536,2.915525
625,2.892756,2.432234,2.915525
626,2.893150,2.435102,2.915525
627,2.892878,2.435102,2.915525
628,2.893049,2.435102,2.915525
629,2.893106,2.433668,2.915525
630,2.892980,2.433668,2.915525
631,2.893105,2.436536,2.915525
632,2.893330,2.435102,2.916959
633,2.892736,2.433668,2.916959
634,2.893126,2.435102,2.915525
635,2.893276,2.436536,2.918393
636,2.893024,2.433668,2.914091
637,2.893250,2.432234,2.915525
638,2.893395,2.435102,2.916959
639,2.893016,2.433668,2.915525
640,2.892937,2.433668,2.915525
641,2.893002,2.436536,2.915525
642,2.893142,2.433668,2.915525
643,2.893192,2.435102,2.915525
644,2.893179,2.433668,2.916959
645,2.892798,2.435102,2.915525
646,2.893295,2.436536,2.915525
647,2.893211,2.435102,2.916959
648,2.893224,2.435102,2.915525
649,2.893118,2.436536,2.915525
650,2.892856,2.433668,2.915525
651,2.892968,2.435102,2.915525
652,2.892952,2.433668,2.915525
653,2.892935,2.433668,2.915525
654,2.892828,2.435102,2.918393
655,2.892734,2.433668,2.915525
656,2.892942,2.432234,2.915525
657,2.892726,2.435102,2.914091
658,2.893008,2.435102,2.915525
659,2.893366,2.435102,2.916959
660,2.892912,2.435102,2.915525
661,2.892922,2.435102,2.915525
