EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: -3.111111"
"Trigger position: 0"
"Sample interval: 0.49999872"
"Number of sample: 172800/172800"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/04 04:03:13"

"V1: 0.500000, 1.220000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
426,2.443862
427,2.444063
428,2.443864
429,2.443629
430,2.443413
431,2.443569
432,2.443917
433,2.443923
434,2.443584
435,2.443696
436,2.443704
437,2.443871
438,2.444050
439,2.443782
440,2.443587
441,2.443732
442,2.443681
443,2.443575
444,2.443813
445,2.443763
446,2.443759
447,2.443743
448,2.443782
449,2.443633
450,2.443459
451,2.443632
452,2.443744
453,2.443663
454,2.443508
455,2.443755
456,2.443921
457,2.443215
458,2.443509
459,2.443387
460,2.443727
461,2.443662
462,2.443685
463,2.443661
464,2.443639
465,2.443385
466,2.443445
467,2.443670
468,2.443567
469,2.443807
470,2.443778
471,2.443636
472,2.443546
473,2.443620
474,2.443436
475,2.443284
476,2.443280
477,2.443579
478,2.443663
479,2.443641
480,2.443527
481,2.443349
482,2.443464
483,2.443638
484,2.443372
485,2.443127
486,2.443407
487,2.443613
488,2.443559
489,2.443556
490,2.443604
491,2.443740
492,2.443608
493,2.443316
494,2.443442
495,2.443503
496,2.443578
497,2.443410
498,2.443382
499,2.443144
500,2.443584
501,2.443247
502,2.443160
503,2.443292
504,2.443239
505,2.443296
506,2.443262
507,2.443099
508,2.443549
509,2.443511
510,2.443274
511,2.443350
512,2.443305
513,2.443498
514,2.443254
515,2.443329
516,2.443117
517,2.443340
518,2.443383
519,2.443489
520,2.443310
521,2.443521
522,2.443329
523,2.442929
524,2.443049
525,2.443323
526,2.443497
527,2.443459
528,2.443378
529,2.443249
530,2.443359
531,2.442964
532,2.443050
533,2.443002
534,2.443278
535,2.443271
536,2.443033
537,2.443439
538,2.443592
539,2.443599
540,2.443395
541,2.443453
542,2.443519
543,2.443324
544,2.443328
545,2.443139
546,2.443310
547,2.443187
548,2.443268
549,2.443235
550,2.443232
551,2.443192
552,2.443040
553,2.443055
554,2.443048
555,2.443150
556,2.443109
557,2.443112
558,2.443125
559,2.443187
560,2.442977
561,2.443017
562,2.443276
563,2.443261
564,2.443460
565,2.443042
566,2.443137
567,2.442891
568,2.443144
569,2.442995
570,2.442804
571,2.442690
572,2.442689
573,2.442814
574,2.442891
575,2.443130
576,2.442933
577,2.443132
578,2.443079
579,2.442929
580,2.443014
581,2.443021
582,2.442972
583,2.442860
584,2.442650
585,2.442933
586,2.442967
587,2.443060
588,2.442993
589,2.443220
590,2.443198
591,2.443193
592,2.442944
593,2.443172
594,2.443220
595,2.442942
596,2.442673
597,2.442792
598,2.442620
599,2.442608
600,2.442727
601,2.442389
602,2.442775
603,2.442731
604,2.442443
605,2.442634
606,2.442629
607,2.442937
608,2.443006
609,2.442807
610,2.442723
611,2.442677
612,2.442586
613,2.442536
614,2.442716
615,2.442750
616,2.442789
617,2.442959
618,2.443027
619,2.442727
620,2.442756
621,2.442688
622,2.442776
623,2.442667
624,2.442655
625,2.442470
626,2.442734
627,2.442971
628,2.443110
629,2.443035
630,2.443014
631,2.442732
632,2.442750
633,2.442798
634,2.442866
635,2.442830
636,2.442951
637,2.442750
638,2.442935
639,2.442487
640,2.442699
641,2.442378
642,2.442509
643,2.442538
644,2.442803
645,2.442925
646,2.442707
647,2.442660
648,2.442644
649,2.442812
650,2.443049
651,2.442680
652,2.442645
653,2.442325
654,2.442401
655,2.442430
656,2.442492
657,2.442316
658,2.442201
659,2.442281
660,2.442385
661,2.442331
662,2.442514
663,2.442573
664,2.442321
665,2.442365
666,2.442518
667,2.442432
668,2.442575
669,2.442629
670,2.442584
671,2.442686
672,2.442477
673,2.442501
674,2.442377
675,2.442581
676,2.442313
677,2.442460
678,2.442362
679,2.442262
680,2.442258
681,2.442244
682,2.442304
683,2.442761
684,2.442732
685,2.442662
686,2.442714
687,2.442641
688,2.442460
689,2.442597
690,2.442459
691,2.442189
692,2.442444
693,2.442677
694,2.442502
695,2.442437
696,2.442488
697,2.442477
698,2.442233
699,2.442424
700,2.442269
701,2.442346
702,2.442342
703,2.442290
704,2.442338
705,2.442409
706,2.442601
707,2.442664
708,2.442400
709,2.442329
710,2.442485
711,2.442501
712,2.442200
713,2.442540
714,2.442399
715,2.442427
716,2.442148
717,2.442309
718,2.442370
719,2.442286
720,2.442343
721,2.442417
722,2.442387
723,2.442548
724,2.442501
725,2.442422
726,2.442500
727,2.442496
728,2.442789
729,2.442520
730,2.442230
731,2.442545
732,2.442738
733,2.442464
734,2.442532
735,2.442356
736,2.442375
737,2.442067
738,2.442575
739,2.442297
740,2.442341
741,2.442436
742,2.442428
743,2.442670
744,2.442648
745,2.442412
746,2.442288
747,2.442417
748,2.442812
749,2.442364
750,2.442528
751,2.442406
752,2.442428
753,2.442452
754,2.442286
755,2.442290
756,2.442173
757,2.442196
758,2.442336
759,2.442119
760,2.441895
761,2.442033
762,2.441920
763,2.441878
764,2.441630
765,2.441661
766,2.441726
767,2.442044
768,2.442005
769,2.442203
770,2.442122
771,2.442235
772,2.442295
773,2.442461
774,2.442214
775,2.442181
776,2.441919
777,2.442079
778,2.441963
779,2.441684
780,2.441866
781,2.441906
782,2.441798
783,2.442165
784,2.442263
785,2.442170
786,2.442423
787,2.442205
788,2.442176
789,2.441898
790,2.441831
791,2.441827
792,2.441652
793,2.441700
794,2.441512
795,2.441268
796,2.441507
797,2.441833
798,2.441967
799,2.442334
800,2.441893
801,2.441886
802,2.441574
803,2.441365
804,2.441583
805,2.441696
806,2.441658
807,2.441565
808,2.441704
809,2.441615
810,2.441673
811,2.441760
812,2.441712
813,2.441752
814,2.441868
815,2.441784
816,2.441820
817,2.441764
818,2.441877
819,2.442019
820,2.442237
821,2.442417
822,2.442196
823,2.442056
824,2.441965
825,2.442032
826,2.442304
827,2.441969
828,2.441661
829,2.441762
830,2.441858
831,2.442068
832,2.441988
833,2.441836
834,2.441788
835,2.441887
836,2.441749
837,2.441781
838,2.441997
839,2.442004
840,2.441974
841,2.441649
842,2.442095
843,2.441891
844,2.442108
845,2.442264
846,2.442284
847,2.442153
848,2.442047
849,2.442182
850,2.442069
851,2.441866
852,2.441963
853,2.441861
854,2.441820
855,2.441911
856,2.442142
857,2.442058
858,2.442143
859,2.442084
860,2.442227
861,2.442308
862,2.441951
863,2.441790
864,2.441972
865,2.441871
866,2.441587
867,2.441642
868,2.441473
869,2.441535
870,2.441581
871,2.441573
872,2.441729
873,2.441645
874,2.441669
875,2.441398
876,2.441643
877,2.441414
878,2.441419
879,2.441707
880,2.441655
881,2.441618
882,2.441446
883,2.441508
884,2.441616
885,2.441579
886,2.441567
887,2.441355
888,2.441608
889,2.441596
890,2.441627
891,2.441788
892,2.441888
893,2.441707
894,2.441775
895,2.441306
896,2.441451
897,2.441402
898,2.441442
899,2.441412
900,2.441575
901,2.441336
902,2.441348
903,2.441120
904,2.441435
905,2.441281
906,2.441528
907,2.441472
908,2.441533
909,2.441406
910,2.440980
911,2.441270
912,2.441289
913,2.441322
914,2.441368
915,2.441546
916,2.441478
917,2.441395
918,2.441130
919,2.441542
920,2.441216
921,2.441100
922,2.441078
923,2.441301
924,2.441576
925,2.441694
926,2.441458
927,2.441555
928,2.441622
929,2.441722
930,2.441645
931,2.441742
932,2.441346
933,2.441364
934,2.441451
935,2.441329
936,2.441374
937,2.441650
938,2.441456
939,2.441262
940,2.441392
941,2.441520
942,2.441492
943,2.441263
944,2.441516
945,2.441512
946,2.441428
947,2.441687
948,2.441198
949,2.441005
950,2.441376
951,2.441368
952,2.441572
953,2.441538
954,2.441473
955,2.441563
956,2.441499
957,2.441315
958,2.441497
959,2.441364
960,2.441277
961,2.441386
962,2.441613
963,2.441588
964,2.441575
965,2.441675
966,2.441501
967,2.441420
968,2.441301
969,2.441345
970,2.441692
971,2.441463
972,2.441538
973,2.441301
974,2.441324
975,2.441318
976,2.441304
977,2.441190
978,2.441462
979,2.441482
980,2.441349
981,2.441400
982,2.441360
983,2.441410
984,2.441623
985,2.441468
986,2.441226
987,2.441227
988,2.441324
989,2.441248
990,2.441211
991,2.440813
992,2.440984
993,2.441322
994,2.441324
995,2.441446
996,2.441426
997,2.441300
998,2.441262
999,2.441347
1000,2.440890
1001,2.440908
1002,2.441069
1003,2.441081
1004,2.440990
1005,2.441106
1006,2.441043
1007,2.441084
1008,2.441094
1009,2.441302
1010,2.441179
1011,2.441010
1012,2.440900
1013,2.440870
1014,2.440890
1015,2.440655
1016,2.440434
1017,2.440690
1018,2.440770
1019,2.440794
1020,2.440603
1021,2.440951
1022,2.441239
1023,2.440793
1024,2.440744
1025,2.440873
1026,2.440892
1027,2.440761
1028,2.440578
1029,2.440522
1030,2.440781
1031,2.440799
1032,2.440689
1033,2.440705
1034,2.440384
1035,2.440733
1036,2.440688
1037,2.440480
1038,2.440394
1039,2.440526
1040,2.440832
1041,2.440893
1042,2.440668
1043,2.440319
1044,2.440381
1045,2.440120
1046,2.440282
1047,2.440448
1048,2.440478
1049,2.440308
1050,2.440532
1051,2.440704
1052,2.440821
1053,2.440568
1054,2.440715
1055,2.440927
1056,2.440710
1057,2.440752
1058,2.440798
1059,2.441138
1060,2.440691
1061,2.440409
1062,2.440834
1063,2.440846
1064,2.440610
1065,2.440315
1066,2.440371
1067,2.440324
1068,2.440153
1069,2.440268
1070,2.440372
1071,2.440060
1072,2.440556
1073,2.440526
1074,2.440217
1075,2.440045
1076,2.440499
1077,2.440396
1078,2.440500
1079,2.439991
1080,2.440090
1081,2.440185
1082,2.440295
1083,2.440369
1084,2.440453
1085,2.440546
1086,2.440546
1087,2.440704
1088,2.440546
1089,2.440700
1090,2.440779
1091,2.440717
1092,2.440352
1093,2.440174
1094,2.440571
1095,2.440387
1096,2.440048
1097,2.439978
1098,2.439892
1099,2.439650
1100,2.440046
1101,2.439933
1102,2.439678
1103,2.439742
1104,2.439938
1105,2.439630
1106,2.439676
1107,2.439918
1108,2.439996
1109,2.440039
1110,2.440042
1111,2.439912
1112,2.440082
1113,2.440268
1114,2.440383
1115,2.440401
1116,2.440337
1117,2.440546
1118,2.440359
1119,2.439841
1120,2.439993
1121,2.440222
1122,2.440374
1123,2.440296
1124,2.440027
1125,2.439929
1126,2.440221
1127,2.440459
1128,2.440373
1129,2.440346
1130,2.440440
1131,2.440330
1132,2.440299
1133,2.440533
1134,2.440201
1135,2.440222
1136,2.439976
1137,2.440121
1138,2.439936
1139,2.439851
1140,2.439950
1141,2.440078
1142,2.440178
1143,2.440156
1144,2.440213
1145,2.440281
1146,2.440163
1147,2.439863
1148,2.439994
1149,2.439952
1150,2.440252
1151,2.440283
1152,2.440258
1153,2.440217
1154,2.440128
1155,2.440293
1156,2.439844
1157,2.439723
1158,2.439875
1159,2.440098
1160,2.439916
1161,2.439885
1162,2.440212
1163,2.440447
1164,2.439962
1165,2.439876
1166,2.440080
1167,2.440137
1168,2.440017
1169,2.440166
1170,2.439909
1171,2.439802
1172,2.439442
1173,2.439594
1174,2.439705
1175,2.439731
1176,2.440045
1177,2.439801
1178,2.439822
1179,2.439978
1180,2.440184
1181,2.440335
1182,2.440085
1183,2.439924
1184,2.439722
1185,2.440068
1186,2.439856
1187,2.439889
1188,2.439745
1189,2.439816
1190,2.439852
1191,2.439538
1192,2.439655
1193,2.439745
1194,2.439614
1195,2.439653
1196,2.439762
1197,2.439714
1198,2.439518
1199,2.439732
1200,2.439584
1201,2.439523
1202,2.439579
1203,2.439389
1204,2.439487
1205,2.439370
1206,2.439465
1207,2.439627
1208,2.439608
1209,2.439661
1210,2.439856
1211,2.439733
1212,2.439601
1213,2.439778
1214,2.439477
1215,2.439538
1216,2.439734
1217,2.439669
1218,2.439556
1219,2.439393
1220,2.439704
1221,2.439864
1222,2.439678
1223,2.439686
1224,2.439894
1225,2.439924
1226,2.440052
1227,2.439775
1228,2.439950
1229,2.439751
1230,2.439997
1231,2.439950
1232,2.439997
1233,2.440068
