EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 51175/51840"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/12 06:25:07"

"V1: 1.000000, 1.562500"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
426,2.842058
427,2.841755
428,2.841666
429,2.841212
430,2.841178
431,2.840949
432,2.840539
433,2.840159
434,2.840340
435,2.839769
436,2.839485
437,2.839506
438,2.839149
439,2.839134
440,2.839091
441,2.839083
442,2.838713
443,2.838662
444,2.838348
445,2.837776
446,2.837771
447,2.837546
448,2.837569
449,2.837388
450,2.837177
451,2.836896
452,2.836603
453,2.836545
454,2.836612
455,2.836379
456,2.836133
457,2.836002
458,2.835743
459,2.835171
460,2.835026
461,2.835076
462,2.834867
463,2.834712
464,2.834497
465,2.834205
466,2.834283
467,2.833719
468,2.833702
469,2.833638
470,2.833426
471,2.833322
472,2.832984
473,2.832826
474,2.832803
475,2.832710
476,2.832807
477,2.832504
478,2.832124
479,2.831999
480,2.831611
481,2.831628
482,2.831789
483,2.831504
484,2.831141
485,2.830854
486,2.830663
487,2.830487
488,2.830384
489,2.830174
490,2.830115
491,2.830075
492,2.829763
493,2.829513
494,2.829509
495,2.829309
496,2.829124
497,2.828973
498,2.828687
499,2.828696
500,2.828561
501,2.828459
502,2.828427
503,2.828152
504,2.828131
505,2.828018
506,2.827884
507,2.827818
508,2.827548
509,2.827282
510,2.827180
511,2.827011
512,2.826828
513,2.826747
514,2.826930
515,2.826419
516,2.826160
517,2.826105
518,2.825966
519,2.825952
520,2.825838
521,2.825590
522,2.825313
523,2.825048
524,2.825022
525,2.824857
526,2.824430
527,2.824233
528,2.824204
529,2.824130
530,2.824186
531,2.824038
532,2.823855
533,2.823650
534,2.823753
535,2.823621
536,2.823466
537,2.822874
538,2.822659
539,2.822668
540,2.822648
541,2.822837
542,2.822427
543,2.822384
544,2.822325
545,2.822361
546,2.822399
547,2.822179
548,2.821893
549,2.821719
550,2.821532
551,2.821362
552,2.821418
553,2.821300
554,2.821023
555,2.820795
556,2.820673
557,2.820282
558,2.820169
559,2.820006
560,2.819951
561,2.820261
562,2.820242
563,2.820116
564,2.819924
565,2.819924
566,2.819458
567,2.819281
568,2.819236
569,2.819080
570,2.819128
571,2.818734
572,2.818526
573,2.818662
574,2.818495
575,2.818319
576,2.818033
577,2.817755
578,2.818028
579,2.818051
580,2.817923
581,2.817506
582,2.817621
583,2.817839
584,2.817449
585,2.817363
586,2.817322
587,2.817140
588,2.816962
589,2.816751
590,2.816863
591,2.816740
592,2.816551
593,2.816285
594,2.816298
595,2.816005
596,2.815970
597,2.816002
598,2.815887
599,2.815825
600,2.815703
601,2.815669
602,2.815324
603,2.815194
604,2.815147
605,2.814936
606,2.814605
607,2.814459
608,2.814475
609,2.814388
610,2.814241
611,2.814143
612,2.814239
613,2.814183
614,2.814282
615,2.814005
616,2.813645
617,2.813957
618,2.813725
619,2.813541
620,2.813515
621,2.813573
622,2.813704
623,2.813497
624,2.813195
625,2.813150
626,2.813167
627,2.812799
628,2.812679
629,2.812559
630,2.812565
631,2.812069
632,2.812130
633,2.812046
634,2.811916
635,2.811990
636,2.811989
637,2.812066
638,2.811889
639,2.811574
640,2.811266
641,2.811295
642,2.811129
643,2.810941
644,2.811236
645,2.811291
646,2.811253
647,2.811073
648,2.811119
649,2.810831
650,2.810637
651,2.810606
652,2.810706
653,2.810499
654,2.810421
655,2.810035
656,2.809843
657,2.809884
658,2.809810
659,2.809563
660,2.809642
661,2.809556
662,2.809370
663,2.809400
664,2.809184
665,2.809083
666,2.809080
667,2.809020
668,2.809062
669,2.809097
670,2.808906
671,2.808746
672,2.808908
673,2.808881
674,2.808454
675,2.808262
676,2.808472
677,2.808389
678,2.808095
679,2.807889
680,2.807877
681,2.807955
682,2.808303
683,2.808389
684,2.807944
685,2.807892
686,2.807923
687,2.807827
688,2.807541
689,2.807367
690,2.807512
691,2.807114
692,2.807144
693,2.807039
694,2.807110
695,2.806935
696,2.806901
697,2.806828
698,2.806499
699,2.806638
700,2.806775
701,2.806662
702,2.807040
703,2.806479
704,2.806264
705,2.806100
706,2.806140
707,2.806225
708,2.806023
709,2.805907
710,2.806220
711,2.806154
712,2.805739
713,2.805547
714,2.805417
715,2.805514
716,2.805637
717,2.805531
718,2.805652
719,2.805445
720,2.805454
721,2.805333
722,2.805159
723,2.805445
724,2.805332
725,2.805232
726,2.804913
727,2.804900
728,2.804868
729,2.804882
730,2.804691
731,2.804545
732,2.804438
733,2.804550
734,2.804520
735,2.804285
736,2.804367
737,2.804198
738,2.804049
739,2.803922
740,2.803816
741,2.803712
742,2.803854
743,2.803839
744,2.803529
745,2.803697
746,2.803553
747,2.803576
748,2.803436
749,2.803374
750,2.803517
751,2.803457
752,2.803555
753,2.803432
754,2.803371
755,2.803070
756,2.803292
757,2.803134
758,2.803350
759,2.803241
760,2.803041
761,2.803026
762,2.803038
763,2.802979
764,2.802873
765,2.803076
766,2.802962
767,2.802931
768,2.802662
769,2.803053
770,2.802728
771,2.802531
772,2.802658
773,2.802509
774,2.802556
775,2.802173
776,2.802185
777,2.802093
778,2.802308
779,2.802485
780,2.802278
781,2.802052
782,2.802043
783,2.802047
784,2.802123
785,2.801718
786,2.801777
787,2.802041
788,2.802160
789,2.802200
790,2.801994
791,2.801965
792,2.801750
793,2.801616
794,2.801501
795,2.801401
796,2.801370
797,2.801411
798,2.801430
799,2.801416
800,2.801292
801,2.801609
802,2.801240
803,2.801538
804,2.801310
805,2.801105
806,2.800927
807,2.801100
808,2.801121
809,2.801038
810,2.801318
811,2.801268
812,2.801215
813,2.801005
814,2.800848
815,2.800884
816,2.800607
817,2.800559
818,2.800633
819,2.800559
820,2.800637
821,2.800694
822,2.800697
823,2.800486
824,2.800528
825,2.800524
826,2.800039
827,2.800076
828,2.799962
829,2.799927
830,2.799876
831,2.799917
832,2.799870
833,2.799796
834,2.799794
835,2.799616
836,2.799986
837,2.799718
838,2.799639
839,2.799825
840,2.799610
841,2.799804
842,2.799540
843,2.799559
844,2.799619
845,2.799663
846,2.799475
847,2.799422
848,2.799229
849,2.798983
850,2.798871
851,2.798671
852,2.799025
853,2.798903
854,2.799018
855,2.798724
856,2.799015
857,2.799184
858,2.799379
859,2.799280
860,2.799407
861,2.799576
862,2.799160
863,2.798991
864,2.799327
865,2.799332
866,2.798975
867,2.798922
868,2.798946
869,2.798811
870,2.798919
871,2.798563
872,2.798580
873,2.798581
874,2.798491
875,2.798691
876,2.798815
877,2.798772
878,2.798677
879,2.798769
880,2.798519
881,2.798772
882,2.798446
883,2.798510
884,2.798603
885,2.798183
886,2.798299
887,2.798353
888,2.798352
889,2.798486
890,2.798462
891,2.798521
892,2.798491
893,2.798437
894,2.798693
895,2.798584
896,2.798393
897,2.798316
898,2.798133
899,2.798081
900,2.797902
901,2.798007
902,2.798114
903,2.798216
904,2.798228
905,2.798068
906,2.797935
907,2.797872
908,2.798008
909,2.797920
910,2.797875
911,2.797781
912,2.797665
913,2.797707
914,2.797757
915,2.797600
916,2.798012
917,2.797672
918,2.797826
919,2.797695
920,2.797767
921,2.797504
922,2.797459
923,2.797275
924,2.797199
925,2.797122
926,2.797163
927,2.796864
928,2.796923
929,2.796924
930,2.796996
931,2.796947
932,2.796984
933,2.797328
934,2.797238
935,2.797153
936,2.797187
937,2.796860
938,2.796763
939,2.796861
940,2.796725
941,2.796601
942,2.796778
943,2.797147
944,2.797302
945,2.796984
946,2.796702
947,2.796594
948,2.796474
949,2.796410
950,2.796328
951,2.796470
952,2.796439
953,2.796414
954,2.796195
955,2.796014
956,2.795967
957,2.796126
958,2.796110
959,2.796233
960,2.796235
961,2.796196
962,2.796303
963,2.795998
964,2.795874
965,2.795970
966,2.795902
967,2.796070
968,2.795690
969,2.795633
970,2.795579
971,2.795445
972,2.795572
973,2.795341
974,2.795524
975,2.795616
976,2.795613
977,2.795493
978,2.795300
979,2.795239
980,2.795218
981,2.794922
982,2.795020
983,2.794933
984,2.795242
985,2.794749
986,2.794805
987,2.794749
988,2.794686
989,2.794620
990,2.794812
991,2.794693
992,2.794545
993,2.794470
994,2.794454
995,2.794528
996,2.794539
997,2.794500
998,2.794597
999,2.794809
1000,2.794620
1001,2.794662
1002,2.794578
1003,2.794403
1004,2.794572
1005,2.794386
1006,2.794127
1007,2.794089
1008,2.794259
1009,2.794510
1010,2.794346
1011,2.794193
1012,2.794417
1013,2.794765
1014,2.794543
1015,2.794472
1016,2.794681
1017,2.794319
1018,2.793922
1019,2.793993
1020,2.794033
1021,2.794055
1022,2.794074
1023,2.793803
1024,2.793648
1025,2.793591
1026,2.793884
1027,2.793904
1028,2.793997
1029,2.793971
1030,2.793815
1031,2.793669
1032,2.793569
1033,2.793494
1034,2.793580
1035,2.793373
1036,2.793304
1037,2.793405
1038,2.793374
1039,2.793258
1040,2.793459
1041,2.793225
1042,2.793389
1043,2.793330
1044,2.793242
1045,2.793231
1046,2.793049
1047,2.792906
1048,2.792933
1049,2.792976
1050,2.792909
1051,2.793112
1052,2.792853
1053,2.793025
1054,2.792717
1055,2.792736
1056,2.792761
1057,2.792841
1058,2.792666
1059,2.792552
1060,2.792736
1061,2.792589
1062,2.792567
1063,2.792853
1064,2.792937
1065,2.793169
1066,2.792557
1067,2.792536
1068,2.792783
1069,2.792759
1070,2.792636
1071,2.792411
1072,2.792679
1073,2.792508
1074,2.792384
1075,2.792423
1076,2.792385
1077,2.792443
1078,2.792814
1079,2.793043
1080,2.792516
1081,2.792376
1082,2.792170
1083,2.792265
1084,2.792546
1085,2.792598
1086,2.792150
1087,2.792037
1088,2.792307
1089,2.792532
1090,2.792597
1091,2.792553
1092,2.792520
1093,2.792374
1094,2.792286
1095,2.792378
1096,2.792130
1097,2.791897
1098,2.792078
1099,2.792078
1100,2.791911
1101,2.791909
1102,2.791859
1103,2.791892
1104,2.791692
1105,2.791934
1106,2.792093
1107,2.791642
1108,2.791585
1109,2.791746
1110,2.791876
1111,2.791703
1112,2.791579
1113,2.791763
1114,2.791662
1115,2.791630
1116,2.791470
1117,2.791537
1118,2.791600
1119,2.791598
1120,2.791592
1121,2.791305
1122,2.791330
1123,2.791290
1124,2.791227
1125,2.791084
1126,2.791283
1127,2.791185
1128,2.790979
1129,2.790949
1130,2.791039
1131,2.791097
1132,2.791178
1133,2.791105
1134,2.791322
1135,2.791249
1136,2.791323
1137,2.791161
1138,2.790930
1139,2.791099
1140,2.791175
1141,2.790946
1142,2.790994
1143,2.791033
1144,2.790895
1145,2.790948
1146,2.790880
1147,2.790525
1148,2.790701
1149,2.790723
1150,2.790804
1151,2.790670
1152,2.790677
1153,2.790674
1154,2.790563
1155,2.790562
1156,2.790447
1157,2.790543
1158,2.790383
1159,2.790454
1160,2.790476
1161,2.790628
1162,2.790581
1163,2.790501
1164,2.790533
1165,2.790361
1166,2.790346
1167,2.790299
1168,2.790155
1169,2.790133
1170,2.790054
1171,2.790154
1172,2.790071
1173,2.790008
1174,2.790150
1175,2.790529
1176,2.790135
1177,2.790040
1178,2.790177
1179,2.790154
1180,2.790079
1181,2.789882
1182,2.789780
1183,2.790004
1184,2.789954
1185,2.790201
1186,2.790069
1187,2.789789
1188,2.789938
1189,2.789927
1190,2.789993
1191,2.789874
1192,2.789849
1193,2.789766
1194,2.789658
1195,2.789684
1196,2.789591
1197,2.789474
1198,2.789612
1199,2.789753
1200,2.789698
1201,2.789605
1202,2.789732
1203,2.789818
1204,2.789815
1205,2.789983
1206,2.789867
1207,2.790153
1208,2.789970
1209,2.789620
1210,2.789272
1211,2.789264
1212,2.789386
1213,2.789169
1214,2.788941
1215,2.788883
1216,2.788679
1217,2.788938
1218,2.788990
1219,2.789132
1220,2.788997
1221,2.788960
1222,2.788893
1223,2.789130
1224,2.789142
1225,2.789058
1226,2.789131
1227,2.788963
1228,2.789064
1229,2.788988
1230,2.789124
1231,2.789343
1232,2.789136
1233,2.789146
1234,2.789037
1235,2.788837
1236,2.788736
1237,2.788718
1238,2.788776
1239,2.788721
1240,2.788478
1241,2.788567
1242,2.788659
1243,2.788484
1244,2.788516
1245,2.788286
1246,2.788092
1247,2.788293
1248,2.788318
1249,2.788357
1250,2.788513
1251,2.788498
1252,2.788532
1253,2.788342
1254,2.788369
1255,2.788338
1256,2.788352
1257,2.788250
1258,2.788311
1259,2.788352
1260,2.788404
1261,2.788453
1262,2.788470
1263,2.788313
1264,2.788051
1265,2.788191
1266,2.788141
1267,2.787925
1268,2.788098
1269,2.788222
1270,2.788222
1271,2.787857
1272,2.787575
1273,2.787821
1274,2.787813
1275,2.787954
1276,2.788189
1277,2.788170
1278,2.787941
1279,2.787881
1280,2.788161
1281,2.788344
1282,2.788034
1283,2.787975
1284,2.787773
1285,2.787796
1286,2.787676
1287,2.787697
1288,2.787688
1289,2.787764
1290,2.787393
1291,2.787393
1292,2.787625
1293,2.787589
1294,2.787692
1295,2.787638
1296,2.787739
1297,2.787585
1298,2.787504
1299,2.787515
1300,2.787416
1301,2.786997
1302,2.787215
1303,2.787346
1304,2.787205
1305,2.787267
1306,2.787273
1307,2.787477
1308,2.787246
1309,2.787241
1310,2.786947
1311,2.786837
1312,2.786858
1313,2.786889
1314,2.787079
1315,2.787020
1316,2.786851
1317,2.787029
1318,2.786956
1319,2.787022
1320,2.786881
1321,2.787028
1322,2.786791
1323,2.786894
1324,2.786901
1325,2.786734
1326,2.786605
1327,2.786596
1328,2.786691
1329,2.786755
1330,2.786704
1331,2.786761
1332,2.787063
1333,2.786767
1334,2.786867
1335,2.786761
1336,2.786974
1337,2.786803
1338,2.786499
1339,2.786659
1340,2.786517
1341,2.786440
1342,2.786688
1343,2.786601
1344,2.786356
1345,2.786122
1346,2.786287
1347,2.786469
1348,2.786409
1349,2.786199
1350,2.786518
1351,2.786269
1352,2.786102
1353,2.786141
1354,2.785992
1355,2.785884
1356,2.785725
1357,2.785730
1358,2.785882
1359,2.785874
1360,2.785814
1361,2.785789
1362,2.785992
1363,2.786102
1364,2.786159
1365,2.786104
1366,2.786143
1367,2.786141
1368,2.786301
1369,2.786001
1370,2.785942
1371,2.785624
1372,2.785775
1373,2.785818
1374,2.785705
1375,2.785346
1376,2.785546
1377,2.785712
1378,2.785585
1379,2.785535
1380,2.785562
1381,2.785590
1382,2.785727
1383,2.786290
1384,2.786384
1385,2.786457
1386,2.786113
1387,2.785916
1388,2.785875
1389,2.785754
1390,2.785846
1391,2.785789
1392,2.785671
1393,2.785664
1394,2.786103
1395,2.785911
1396,2.785726
1397,2.785834
1398,2.785813
1399,2.785929
1400,2.785583
1401,2.785424
1402,2.785483
1403,2.785595
1404,2.785433
1405,2.785454
1406,2.785500
1407,2.785475
1408,2.785537
1409,2.785686
1410,2.785613
1411,2.785460
1412,2.785742
1413,2.785912
1414,2.785936
1415,2.785866
1416,2.785723
1417,2.785658
1418,2.785655
1419,2.785210
1420,2.785280
1421,2.785501
1422,2.785489
1423,2.785381
1424,2.785172
1425,2.785437
1426,2.785393
1427,2.785115
1428,2.785194
1429,2.785322
1430,2.785065
1431,2.785168
1432,2.785018
1433,2.785021
1434,2.784944
1435,2.785086
1436,2.785004
1437,2.785075
1438,2.784970
1439,2.785081
1440,2.785188
1441,2.785410
1442,2.785641
1443,2.785323
1444,2.785552
1445,2.785619
1446,2.785372
1447,2.785031
1448,2.785145
1449,2.785103
1450,2.784878
